Date,Open,High,Low,Close,Volume,SMA50,SMA200
2024-07-31,78258.29197705603,80860.4765625,77969.16035645113,80860.4765625,20744323,,
2024-08-01,82884.40809265945,82980.78531137184,80089.46875,80089.46875,20900338,,
2024-08-02,78065.54667870603,78451.05555119347,76619.88840687815,76716.265625,25800275,,
2024-08-05,73921.3202687325,74114.0746892507,67656.80160189075,68813.328125,54608790,,
2024-08-06,72186.54572198275,72572.05464439654,69680.7377262931,69873.4921875,47295226,,
2024-08-07,70355.36855756359,73246.68507362784,70162.6141231593,71993.78125,32710428,,
2024-08-08,70548.12836341962,71222.76893520095,69873.48779163828,70740.8828125,28414729,,
2024-08-09,72957.55342202142,73053.93063922356,71511.89516398929,71993.78125,16388222,,
2024-08-12,72475.67301324503,73150.31358650663,72090.16411423842,72764.8046875,9839259,,
2024-08-13,73728.5792234724,73824.9564512155,72764.8069460414,73343.0703125,10716261,,
2024-08-14,74595.96536998056,74981.4742349417,74210.45650501942,74403.2109375,13246168,,
2024-08-16,76523.5134819202,77294.53125,75848.87293485038,77294.53125,22061478,,
2024-08-19,77198.16522988505,77198.16522988505,75174.24329501916,75463.375,14146565,,
2024-08-20,76619.90405180608,76909.03576520912,75848.88614939796,76041.640625,10683836,,
2024-08-21,75077.86606002554,75752.50670498084,74981.48882503193,75463.375,7805598,,
2024-08-22,75848.88393997446,76041.63840996168,74981.48882503193,75463.375,8149101,,
2024-08-23,74885.1015625,75559.74211711712,74692.34711832368,74885.1015625,9420306,,
2024-08-26,75270.61486736202,75366.99209510512,73246.6930847569,73343.0703125,15655938,,
2024-08-27,72957.56807593997,73728.58596842019,72861.19083937994,73053.9453125,11130145,,
2024-08-28,73053.93199852748,73632.1953125,72668.4231225458,73632.1953125,9794514,,
2024-08-29,70933.63175675676,71993.78114442568,70837.25453969595,71319.140625,16884479,,
2024-08-30,71704.64283310901,72282.90608176313,71415.51120878197,71608.265625,16358520,,
2024-09-02,71801.0256531418,71993.7800844254,70837.25349672379,71704.6484375,12641376,,
2024-09-03,71415.52787715517,71608.28233836207,69873.4921875,69873.4921875,16314599,,
2024-09-04,67271.3002455357,68524.20411830356,67271.3002455357,67464.0546875,27366563,,
2024-09-05,67560.43066123188,68620.58007246377,66500.28125,66500.28125,25686769,,
2024-09-06,66596.6685300254,67174.9319326016,65536.5189586357,66403.9140625,19022299,,
2024-09-09,64476.36553819445,65729.26950231481,64187.23385416667,65054.62890625,23263298,,
2024-09-10,64572.74045270015,64861.87212636896,63608.96820713746,63801.72265625,30651376,,
2024-09-11,62741.574766467646,63127.08367440293,61874.17972361325,62548.8203125,35809707,,
2024-09-12,63608.965992647056,64187.22931985294,62837.94822303922,63898.09765625,35884106,,
2024-09-13,62645.20089285714,63127.08705357143,61970.56026785714,62066.9375,25045135,,
2024-09-19,61681.41838351823,62066.92724841522,59946.62849148178,60814.0234375,49402713,,
2024-09-20,61488.666195436504,62356.06117311508,60717.6484375,60717.6484375,32746056,,
2024-09-23,60043.00507313299,61199.531655601044,59946.62785792732,60332.13671875,28542376,,
2024-09-24,60524.901231210446,61103.16461876978,60139.392306170885,60910.41015625,26957500,,
2024-09-25,61488.66437650723,61874.17324407154,59946.62890625,59946.62890625,28652438,,
2024-09-26,61585.04858360703,62548.82086191074,61392.29412794629,62356.06640625,37566015,,
2024-09-27,62705.933654595014,63384.35952102803,62221.34375,62221.34375,28433030,,
2024-09-30,62221.348170731704,62318.266158536586,59604.5625,59604.5625,32694163,,
2024-10-02,58635.37880429241,59992.23054521819,58053.87091532422,59410.72265625,28473536,,
2024-10-04,59119.96880156765,59798.394673061055,58635.37889335808,58732.296875,24247578,,
2024-10-07,58344.628752561475,59992.23454789959,57666.20283683402,59119.97265625,35066533,,
2024-10-08,58150.792910447766,59119.97279228856,58053.87492226368,58441.546875,27411786,,
2024-10-10,58247.70719041808,58344.62517243208,57084.69140625,57084.69140625,45262214,,
2024-10-11,57278.52342432546,58247.703177698146,57181.60544898819,57472.359375,29623969,,
2024-10-14,57666.19532567453,59313.80090640809,57569.27735033727,57472.359375,20886249,,
