Date,Open,High,Low,Close,Volume,SMA50,SMA200
2024-09-05,151.4050392365217,151.64126390438628,148.88828091262954,149.16993713378906,1013500,,
2024-09-06,149.524330839594,150.2057627113734,147.50729139002556,149.46072387695312,1443600,,
2024-09-09,149.12947925285692,149.42389918435202,146.71897572827967,148.98226928710938,1406600,,
2024-09-10,149.78273947461395,150.98799143624225,148.2462720546306,150.84999084472656,1155000,,
2024-09-11,149.41470984144755,151.03399160457738,147.271025846906,150.3163604736328,1566600,,
2024-09-12,149.04669083060872,151.42039907292732,148.51306519113714,150.64756774902344,1356000,,
2024-09-13,151.57679279370632,152.58884376320194,149.60790512109085,150.90516662597656,2512400,,
2024-09-16,152.63485458383428,153.46290022333562,151.16279684480457,151.71481323242188,1794000,,
2024-09-17,151.73320222643184,153.0120590104835,150.81316097060432,151.2087860107422,1288100,,
2024-09-18,151.73320222643184,153.25127872177654,150.4267453278026,151.2087860107422,1786900,,
2024-09-19,153.25129139328013,154.03331810216574,151.19958911526564,153.7021026611328,1599300,,
2024-09-20,153.11326977859724,154.2357212753585,152.30362895110628,153.23287963867188,6736200,,
2024-09-23,152.7268575931603,154.84295541574855,152.7268575931603,154.70494079589844,2274400,,
2024-09-24,154.46573169931307,157.20745081414157,153.8769058349462,156.5082244873047,1546700,,
2024-09-25,156.61861654834885,157.03263229911863,154.65893825104794,155.5789794921875,1349400,,
2024-09-26,155.84581494877483,155.84581494877483,152.6164746314326,153.10409545898438,1085300,,
2024-09-27,154.04251588824943,155.23857244630565,153.10408382280315,154.30014038085938,1397200,,
2024-09-30,153.72048887893624,155.56057132081187,152.8464525267883,155.50537109375,1599400,,
2024-10-01,155.48698593158574,156.18621229367142,153.02128188734935,155.99301147460938,1327100,,
2024-10-02,155.03613584931543,156.1677966207172,154.10689930149437,155.06373596191406,1321400,,
2024-10-03,154.7509624159955,154.99018216747032,153.324895422183,154.88897705078125,1126700,,
2024-10-04,154.88896768851535,156.15861521174992,153.71131587752612,156.02061462402344,1211100,,
2024-10-07,155.01776427935613,155.20176973231136,153.37088248442384,154.10691833496094,1069300,,
2024-10-08,154.86136095226985,155.46857755103122,153.1132740297173,153.85850524902344,1087400,,
2024-10-09,153.4720797251441,155.91939283632036,152.86484912666302,155.69857788085938,805300,,
2024-10-10,154.76014262331975,155.68937921857525,153.7112961748882,154.4105224609375,741900,,
2024-10-11,155.43179155231923,157.79629057701604,155.34899119817374,157.12466430664062,1135400,,
2024-10-14,156.69224555271057,158.5047281987006,155.94701427934038,157.95269775390625,888800,,
2024-10-15,158.24712614351353,162.57131806178452,158.24712614351353,160.66683959960938,1374000,,
2024-10-16,160.74041465367884,161.7340468600509,160.13318405300606,161.03482055664062,1264000,,
2024-10-17,160.48280115681303,161.09924119700352,159.05674833780702,160.40921020507812,1070800,,
2024-10-18,160.86921880462745,162.92090686927918,159.47994752693793,162.77369689941406,1060400,,
2024-10-21,162.1848736328265,162.654089625664,159.7651606051069,160.2803955078125,1032000,,
2024-10-22,160.43679641173242,161.49483822546551,159.67316049556317,160.8692169189453,928100,,
2024-10-23,159.6639606040681,161.28324227257778,158.6979284725876,159.9215850830078,908900,,
2024-10-24,159.94918606712903,161.23723827523935,158.86353002996506,159.53515625,1047200,,
2024-10-25,159.85716630191553,160.14237684164104,156.3518114050291,156.88543701171875,954900,,
2024-10-28,157.85148849768876,160.02277243237387,157.7870788697706,158.72552490234375,1101500,,
2024-10-29,158.26549298178477,158.96471924791908,157.3270470161117,158.2286834716797,857700,,
2024-10-30,158.4586945364975,159.70075579229524,157.87907811734473,158.32069396972656,929400,,
2024-10-31,156.81185823541406,157.94350522493653,155.5145964939979,155.59739685058594,1794900,,
2024-11-01,153.74811827660278,157.67669896911733,152.72687176529817,154.2909393310547,1433600,,
2024-11-04,155.100568004096,158.39431762695312,154.3001365450206,158.39431762695312,1215900,,
2024-11-05,157.32705975059724,160.4459991455078,157.26265012205724,160.4459991455078,894600,,
2024-11-06,162.20329175749202,164.42059476585888,157.6766900295869,159.72837829589844,1967000,,
2024-11-07,160.1792030283601,162.81052182426154,159.9031878184119,161.697265625,1278200,,
2024-11-08,162.17568174640107,165.11061570095006,162.17568174640107,164.70579528808594,972000,,
2024-11-11,164.5401830009927,167.31871166253248,164.2273723277555,166.8402862548828,1491200,,
2024-11-12,166.702296301774,168.22035893062574,163.91457210344961,163.9697723388672,1516500,,
2024-11-13,165.03702590042735,166.7022985385483,164.22738500019375,164.84381103515625,1197200,156.48769165039062,
2024-11-14,164.88059680881756,166.33424961404853,163.65694027488723,164.05255126953125,1187600,156.78534393310548,
2024-11-15,163.74896283154413,166.38949116991634,162.38730550376985,165.85586547851562,1127500,157.11324676513672,
2024-11-18,164.91739371960583,166.77588097158198,164.91739371960583,166.38946533203125,1125600,157.46139068603514,
2024-11-19,165.4050215251012,167.1990992277818,164.7977909061275,166.72068786621094,1160400,157.77880462646485,
2024-11-20,166.02146168425978,166.82190721899443,165.0186199646282,166.44468688964844,1139300,158.10137115478517,
2024-11-21,166.49986809717785,168.1467357770453,165.87423273967508,167.2635040283203,883800,158.4336898803711,
2024-11-22,168.44116288574193,169.25080372211713,166.2054552266481,166.65628051757812,1836500,158.74871215820312,
2024-11-25,167.57631607471652,168.27554238480417,165.67183794914828,165.70863342285156,4564900,159.02858856201172,
2024-11-26,166.15025860845364,169.23240264592064,165.598242239687,168.79078674316406,1358500,159.38022857666016,
2024-11-27,168.60677660296287,171.1276950135523,168.55157636689518,169.05760192871094,903000,159.73720489501954,
2024-11-29,169.95004328422718,171.12769511677212,168.9196014404297,168.9196014404297,1291400,160.04155487060547,
2024-12-02,168.51478663508544,168.5239819951712,166.29748348598014,166.86790466308594,1687800,160.31425537109374,
2024-12-03,168.1099557969852,168.2111609065534,165.07381654865608,166.18707275390625,1651400,160.5438980102539,
2024-12-04,166.80348803430775,167.08869858690105,164.95419606384067,166.99668884277344,1128400,160.75366729736328,
2024-12-05,166.19628649562927,168.18357939129183,165.94787137399186,167.33714294433594,1209300,160.98883056640625,
2024-12-06,168.36756476394942,169.26920134386648,167.55792389455308,169.14039611816406,1419400,161.30955657958984,
2024-12-09,169.05662568409232,170.16412804610516,167.79091072763953,169.4847412109375,1638400,161.6132485961914,
2024-12-10,168.8053516113085,168.8053516113085,165.81788718622425,166.8043975830078,1925500,161.83922912597657,
2024-12-11,166.8044138434603,167.3907420122999,163.83556655181124,164.38467407226562,1777000,162.00706237792969,
2024-12-12,164.38463957291552,167.3814052721568,164.29156667008445,164.9151153564453,1509100,162.20408996582032,
2024-12-13,165.35256802880642,167.35352226291326,164.00309585288062,167.14877319335938,1462400,162.44928588867188,
2024-12-16,166.91609278337887,170.10829214905144,166.42283757061276,169.3172149658203,1499700,162.7152178955078,
2024-12-17,167.86536002042973,169.95937271805485,167.26973031003146,167.48379516601562,1681100,162.9827554321289,
2024-12-18,167.04638941177024,168.69366928799514,159.51723911835091,159.61961364746094,1852100,163.09797760009766,
2024-12-19,160.62474502323346,162.16036299342522,157.29293614961787,157.52560424804688,2057400,163.1345181274414,
2024-12-20,159.2008043870527,162.0672768295625,158.5214175714208,159.71267700195312,4887000,163.24056121826172,
2024-12-23,159.14496668316778,159.84297092300625,157.80479627052873,159.49862670898438,1388500,163.2880404663086,
2024-12-24,159.04260147835677,161.4251204844494,158.68894143181905,161.33206176757812,441700,163.35562774658203,
2024-12-26,160.66198472156952,162.3092646835028,160.17803108596613,161.75086975097656,469900,163.37730834960936,
2024-12-27,160.40140035910932,162.20689295992548,159.4428088841072,160.0849609375,734400,163.35831115722655,
2024-12-30,158.27944507742237,159.62891707394087,156.82758435880493,159.0239715576172,852000,163.33060638427733,
2024-12-31,160.32695624215347,160.6061608335437,158.67966193379294,160.2711181640625,1376100,163.2805548095703,
2025-01-02,160.54099653179762,162.16037169610695,159.68477958774017,161.4995880126953,1154500,163.30493865966798,
2025-01-03,161.983517581249,164.030993812768,161.58332110547627,163.8634796142578,896900,163.3648239135742,
2025-01-06,163.01656195775604,163.70525036474436,161.87182481474778,162.3185577392578,2050700,163.4127633666992,
2025-01-07,162.69082931390363,164.44979946663537,161.15522563487522,162.09519958496094,2317800,163.46396423339843,
2025-01-08,161.76948216008321,162.85836715572984,160.79227330729253,162.57916259765625,1319700,163.5778387451172,
2025-01-10,160.4106932301006,162.71875677415665,158.30737874730872,159.10775756835938,2010300,163.5854833984375,
2025-01-13,158.8099196085408,161.0807622770264,158.06537893348994,160.82017517089844,1257000,163.6373132324219,
2025-01-14,161.6019591432052,162.5977854533822,160.72712479245305,161.5368194580078,1067900,163.7016357421875,
2025-01-15,164.3660398688143,164.67316344014358,159.02397561154643,159.8429718017578,1204400,163.78654724121094,
2025-01-16,160.09426871443023,161.15523467238702,158.90300918973955,160.73643493652344,1195800,163.91545715332032,
2025-01-17,161.46235987979648,163.53775535671062,160.5782097385486,162.06729125976562,1302400,163.98891662597657,
2025-01-21,161.93698439477564,164.31020166143733,161.93698439477564,163.7611083984375,1078300,164.05521881103516,
2025-01-22,163.30505771979654,163.30505771979654,160.63403295768728,160.91322326660156,1517100,164.07891571044922,
2025-01-23,161.29483588093143,162.86767455305036,160.29902376957858,162.7373809814453,902100,164.0997180175781,
2025-01-24,162.2534043150266,164.21712342325006,161.8997584999682,162.16964721679688,1050700,164.04899505615234,
2025-01-27,162.51399842507743,164.64524602254238,162.20687485073358,164.44979858398438,1186100,164.00118530273437,
2025-01-28,163.70527403282154,165.110598484506,163.1934155593321,163.44468688964844,786600,163.99068359375,
2025-01-29,163.79835585080468,164.87793933168211,160.77367030242334,161.59266662597656,689200,163.9256607055664,
2025-01-30,162.9793564301941,164.9616933116087,162.3837266246381,163.6029052734375,1093600,163.91666778564453,
2025-01-31,163.67734804439874,164.8313869158182,161.12731479437667,161.80670166015625,1504200,163.83568450927734,
2025-02-03,160.1780319405505,162.01145775737507,158.76340587558855,161.38790893554688,1306100,163.73565338134765,
2025-02-04,159.49863605410633,161.6205679314659,159.49863605410633,161.33206176757812,1041100,163.627880859375,
2025-02-05,166.18086110558983,168.03290428984414,163.77042300312655,166.69273376464844,1998200,163.632841796875,
2025-02-06,168.7774458141651,168.87982034644133,165.46424013365032,167.6792449951172,1382900,163.64115661621094,
2025-02-07,167.99563997386662,168.35860157736346,166.8602187114547,167.4651641845703,1082100,163.6573342895508,
2025-02-10,168.23765326242122,168.38655005330276,166.35769104332056,168.04220581054688,1492000,163.7040057373047,
2025-02-11,167.83744222023833,171.7555789227677,167.30696638409432,171.5973663330078,2155800,163.76013732910155,
2025-02-12,168.40515696301256,171.64389272764734,168.40515696301256,171.1320343017578,1395300,163.8016259765625,
2025-02-13,171.77421068245602,174.12881070464647,170.93659700678168,173.309814453125,1355200,163.8894302368164,
2025-02-14,173.9054313857773,175.0966908268551,172.1650786806421,172.22091674804688,998000,163.99649047851562,
2025-02-18,172.54665843605318,174.0357399664067,172.10924126904686,173.1422882080078,1135200,164.13559478759765,
2025-02-19,172.63971944278214,173.64484727626444,171.50429804945577,173.03990173339844,783100,164.25645904541017,
2025-02-20,172.5745801187237,174.49177723375902,172.5745801187237,173.76585388183594,940600,164.38503326416014,
2025-02-21,174.2311829011024,174.50107164350024,169.17762448182117,171.05758666992188,1367600,164.4233770751953,
2025-02-24,171.63461264144732,173.27259105176665,171.12273995043043,171.84866333007812,1657000,164.47065551757814,
2025-02-25,171.98825905202054,173.3377311658769,170.36888399483277,171.05758666992188,1356700,164.5557192993164,
2025-02-26,171.87657071611193,173.19813801094224,170.4898779391934,171.4670867919922,1078300,164.69736755371093,
2025-02-27,172.21161102024595,173.19813567225094,169.86632684631772,169.9221649169922,954100,164.79750854492187,
2025-02-28,170.94588850935594,173.3284216273494,169.67087194849142,173.18881225585938,2573100,164.91830932617188,
2025-03-03,174.30562313804424,176.9580450913174,173.15159847983614,174.76165771484375,2047200,165.02719818115236,
2025-03-04,174.52898186290162,174.82680382657742,170.0617518142946,170.8528289794922,2894800,165.09457885742188,
2025-03-05,169.44750859877504,171.57874186858066,168.28416825040404,170.66668701171875,1772800,165.31552032470702,
2025-03-06,168.6098910245163,169.03800651096324,162.23479458734994,162.4395294189453,1949500,165.413798828125,
2025-03-07,162.23481861431875,163.41676233057862,157.88856603548663,159.23805236816406,1898700,165.4043063354492,
2025-03-10,158.53138333497193,159.66206491715664,154.59283937525927,155.7423553466797,2140500,165.3291809082031,
2025-03-11,156.03446336063587,156.3830864731273,151.03117247983417,154.0369110107422,2565500,165.18327789306642,
2025-03-12,154.96029960985885,157.7210470521455,154.5268642742552,156.25115966796875,2003000,165.07328369140626,
2025-03-13,156.40191606464643,157.86237183110586,149.08073095815263,150.2679443359375,1832900,164.876943359375,
2025-03-14,151.60591998026607,151.90744270636276,149.54243313029593,151.8980255126953,1887500,164.73442443847657,
2025-03-17,152.8779513379423,158.10736949801665,152.2655030465605,157.22166442871094,2279300,164.67343536376953,
2025-03-18,156.93898679189755,158.38060820001039,155.05451285947342,155.28065490722656,1340200,164.54905670166016,
2025-03-19,155.28065490722656,156.4207535850019,153.45271289239196,155.28065490722656,1674500,164.37740020751954,
2025-03-20,155.12047682990902,155.9402183922924,152.8308335186589,154.95086669921875,1445800,164.23004638671875,
2025-03-21,153.86728415472436,154.44204922204509,150.67310173204518,152.73660278320312,3094000,164.0428744506836,
