Date,Open,High,Low,Close,Volume,SMA50,SMA200
2024-09-02,13288.927702450615,13366.897941715784,13186.966620334626,13270.9345703125,2234636,,
2024-09-03,13294.924821716262,13382.891241589272,13178.969086429113,13184.966796875,909842,,
2024-09-04,12991.04153781571,13116.993464082621,12991.04153781571,13041.0224609375,1434930,,
2024-09-05,13021.029390325957,13069.011073938396,12535.21484375,12535.21484375,2305261,,
2024-09-06,12559.20663846344,12775.12423110178,12547.211216650197,12645.173828125,1648823,,
2024-09-09,12683.159546589837,12707.150390625,12463.243476267504,12707.150390625,1127367,,
2024-09-10,12021.411587166744,12419.259733823352,11993.42227031653,12401.2666015625,3200262,,
2024-09-11,12259.321472822554,12347.287902177444,12121.374117697838,12303.3046875,1865508,,
2024-09-12,12395.26880186722,12399.267275674274,12043.403106846474,12045.40234375,2026175,,
2024-09-13,11907.456298336896,11943.483566512044,11707.532586141851,11923.4501953125,2101369,,
2024-09-16,11995.421144203561,12055.39824992458,11961.434117628318,12011.4150390625,1030524,,
2024-09-17,12007.416805491728,12105.37941346194,11909.454197521516,11963.43359375,2441405,,
2024-09-18,11923.44810973874,11945.439714233564,11823.486271125907,11851.4755859375,2676484,,
2024-09-19,11959.435758635906,12038.809762935154,11859.473908429987,11893.4609375,2791079,,
2024-09-20,11811.492125159168,11937.444055403757,11755.513489494906,11775.505859375,3467671,,
2024-09-23,11675.54344893819,11733.521318804493,11511.60602379899,11579.580078125,2430049,,
2024-09-24,11587.57778800881,11617.566343360799,11497.612121952841,11517.6044921875,1455566,,
2024-09-25,11455.627359083197,11577.580809153716,11437.63422710558,11561.5869140625,1823463,,
2024-09-26,11739.518184726961,11751.513605215443,11569.583061140145,11715.52734375,3984667,,
2024-09-27,11681.540522902544,11725.783398624142,11593.574104451798,11649.552734375,2998269,,
2024-09-30,11615.56689335142,11721.526453652215,11559.58825772081,11583.5791015625,2967198,,
2024-10-01,11655.551459878177,11795.498046875,11603.571298993644,11795.498046875,3219814,,
2024-10-02,11801.494830251759,12005.416983849196,11795.497119851834,11941.44140625,2128582,,
2024-10-03,12029.408840780154,12077.3905280294,11917.451570531908,11959.435546875,1443950,,
2024-10-04,11821.48790886171,11917.45128102903,11733.521484375,11733.521484375,1690859,,
2024-10-07,11763.510164849704,11841.480405575254,11690.256873783432,11805.494140625,1220093,,
2024-10-08,11725.525084226216,11765.509824496381,11671.545684861492,11673.544921875,2577470,,
2024-10-09,11719.52685762855,11795.497860799804,11677.542882191805,11751.5146484375,951043,,
2024-10-10,11819.48818367672,11841.479788889921,11733.52099966148,11765.5087890625,1446954,,
2024-10-11,11773.50637737483,11805.494168517298,11711.530032036297,11759.51171875,1628325,,
2024-10-14,11799.4966484663,11933.44552604123,11785.381918253672,11931.4462890625,1088620,,
2024-10-15,12001.418992286392,12051.399914293248,11809.492251780062,11845.478515625,1722564,,
2024-10-16,11977.429108092409,12093.38485642647,11951.439026569256,12019.4130859375,1339651,,
2024-10-17,11987.425293293622,12019.4130859375,11929.44741912659,12019.4130859375,1035884,,
2024-10-18,11957.435300649799,12051.399430248619,11871.46811825088,11941.44140625,2385885,,
2024-10-21,11985.42534985986,12199.343700557942,11908.614823491176,11925.4482421875,1289770,,
2024-10-22,11937.442891178143,11937.442891178143,11767.50776377065,11859.47265625,853524,,
2024-10-23,11851.476621945807,11909.454493409441,11817.489593846434,11823.4873046875,1186470,,
2024-10-24,11847.477583816048,11865.470715482323,11690.896728820906,11691.537109375,1620841,,
2024-10-25,11685.539235666089,11711.529314376723,11555.588842112915,11601.5712890625,1533742,,
