Date,Open,High,Low,Close,Volume,SMA50,SMA200
2024-04-08,233.3583321335328,235.86982521868777,233.2628470198926,235.5260467529297,905600,,
2024-04-09,237.11123445375165,238.83012668241525,235.4782831937199,238.74417114257812,1158700,,
2024-04-10,237.14943643102623,237.5791558650481,233.3201380843605,234.71434020996094,1263200,,
2024-04-11,235.42095693543664,235.65014739156862,232.02137864443011,233.40603637695312,1099200,,
2024-04-12,231.98319914232638,233.19597509808546,231.27655398907228,232.86175537109375,1226400,,
2024-04-15,235.9462213216925,236.17541182189018,232.16465821006366,233.08140563964844,1383600,,
2024-04-16,233.96949033521548,234.4660624642207,232.4606856683501,233.20555114746094,1457700,,
2024-04-17,234.03631746891705,234.03631746891705,231.12375227726824,231.9545440673828,1126100,,
2024-04-18,233.48247707918574,233.95994635746626,230.77999921557313,231.08558654785156,1454200,,
2024-04-19,232.8235538457358,233.27237610738092,231.52483690014245,232.34608459472656,1638700,,
2024-04-22,234.0554547048792,236.42369833287063,232.92861958940156,235.21092224121094,1329000,,
2024-04-23,235.64061367123455,236.91068359598043,234.8480129856621,235.71701049804688,1661800,,
2024-04-24,233.61616068301808,235.73612537884134,233.31058793137805,235.4973907470703,1455800,,
2024-04-25,238.3239941318004,239.02109511501368,233.39650827052444,235.23953247070312,1224500,,
2024-04-26,233.10049835081574,235.5928884686221,232.01186902184313,232.11691284179688,1555500,,
2024-04-29,233.05275981686526,233.91219869730458,232.22195335648735,232.95726013183594,1153500,,
2024-04-30,233.18644333317036,233.47292780808365,230.9136849557188,230.99008178710938,1944900,,
2024-05-01,238.43860732840108,242.2870084941474,233.50157680559116,236.18495178222656,2782400,,
2024-05-02,234.92443069865868,235.83163399070784,230.1688407336284,231.123779296875,1781100,,
2024-05-03,232.06916699509364,232.68987121473438,228.53589732771155,230.99008178710938,1491500,,
2024-05-06,231.36251018677572,232.71852117605712,230.235689694592,231.80178833007812,1108800,,
2024-05-07,232.1073529180241,234.17956774518603,231.19062010431466,234.07452392578125,1202500,,
2024-05-08,234.00770359363236,234.00770359363236,230.31208135454784,231.99278259277344,1133500,,
2024-05-09,232.85218240681456,234.38008971760524,231.84949414480843,234.1031494140625,1020200,,
2024-05-10,234.41830990608443,236.07036407991666,234.01723746579856,235.7361297607422,757900,,
2024-05-13,236.34727408633384,238.5627383567962,235.65017307502666,236.63375854492188,950000,,
2024-05-14,237.8560591608726,238.18073472079428,233.48243952671524,234.4373779296875,1279000,,
2024-05-15,235.3541331559251,237.06346654364106,234.91485506439355,235.5069122314453,1053800,,
2024-05-16,235.25864640344352,238.99245938729405,234.9435149539702,238.7919158935547,1032000,,
2024-05-17,238.79194108609312,241.01694974563026,238.00889902062534,240.95965576171875,1291500,,
2024-05-20,241.06468064050716,241.27476827913975,239.29803856233454,240.43441772460938,772900,,
2024-05-21,241.59943064273972,241.59943064273972,239.78505339524838,240.77818298339844,917400,,
2024-05-22,240.9310060675761,243.16555884230112,240.36759580382352,242.57350158691406,1272800,,
2024-05-23,242.89817019682314,242.89817019682314,239.74687006711522,240.15750122070312,1096100,,
2024-05-24,240.26251904735065,241.5898829055765,237.1494103851602,237.68417358398438,973900,,
2024-05-28,237.11124051365297,237.2640341759292,231.0091838743496,232.3365478515625,1483500,,
2024-05-29,230.55079328225807,231.79221623692223,228.82235694198474,229.27117919921875,1565600,,
2024-05-30,229.82505450204835,230.89458099395844,228.7268810199053,230.0542449951172,1562200,,
2024-05-31,230.63675972194218,233.9790446041342,229.68182118417303,233.883544921875,2721000,,
2024-06-03,233.16734384063545,234.46606085056845,231.14287877884806,233.02410888671875,1113300,,
2024-06-04,233.5015732240783,236.3090948311287,232.93814841777228,234.59974670410156,911700,,
2024-06-05,234.09362813824325,235.783873398063,232.39383873886035,234.7047882080078,1298300,,
2024-06-06,235.21088026620376,238.29532728768453,235.13448344393996,236.79608154296875,1614300,,
2024-06-07,237.67464188000446,241.6949393627663,236.76745322230724,240.95008850097656,1650200,,
2024-06-10,239.95693332021835,240.82593080959563,232.70895395855186,235.7456512451172,2339700,,
2024-06-11,235.68836651409336,236.7578929606913,232.7376100754727,235.46873474121094,1478200,,
2024-06-12,234.87666367957948,235.78385227779935,233.04316906331502,235.03900146484375,1764500,,
2024-06-13,233.2628631591797,234.9530940424971,231.68720567743404,233.2628631591797,1368700,,
2024-06-14,233.36844990609302,234.01194499571355,231.3995387080373,233.02268981933594,1106900,,
2024-06-17,231.29392286660385,236.23059999560655,230.54476373832168,235.27015686035156,1347800,234.84097290039062,
2024-06-18,235.4430475393165,235.83683277203926,233.8775204198384,234.74192810058594,1004800,234.82529052734375,
2024-06-20,235.07806584102482,237.1430274569153,234.26169793677028,236.32664489746094,1954200,234.7769400024414,
2024-06-21,237.1526036120613,238.7565417974236,236.73000631192787,238.16107177734375,3022800,234.84587463378907,
2024-06-24,238.43961880928188,240.83112760554388,237.39273925937115,239.34243774414062,1303100,234.9646026611328,
2024-06-25,240.4757694799705,240.4757694799705,236.69162098419272,238.57408142089844,1408300,235.07884918212892,
2024-06-26,236.85489397758568,237.88256056282944,227.8267339182555,228.6046905517578,3146300,234.9893148803711,
2024-06-27,228.46062250121471,229.8244501057346,226.8951100287759,227.91317749023438,2066800,234.88346740722656,
