Ticker,Nombre,Mercado,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Score_Tecnico_Base,Score_Tecnico_Bonus,Vol_Medio_Diario,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Variacion_Margen_pp,EV_EBITDA,Caida_Max_Multianual_%,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Paso_Filtro,hard_rules_applied,Capa1_Status,Base_Classification,Causal_Classification,Causal_Confidence,Problem_Type,Causal_Justification,Recovery_Status,Recovery_Signals,Technical_Status,Final_Classification,Entry_Zone_Min,Entry_Zone_Max,Entry_Zone,Exit_Zone_Min,Exit_Zone_Max,Exit_Zone,Invalidation_Conditions,Estimated_Horizon_Months,Short_Explanation,Summary_Explanation,Estado,Error
CAP.PA,CAPGEMINI,EUROSTOXX,1.0,script-v2.0,1.0,2026-05-18T11:51:24.009611+02:00,88.7,91.2,88,94,0,4,81,59,22,739643.0,2.29,55.8,,8.16,51.9,-8.1043,True,26.3,20.5,False,120.81,-17.8,True,False,True,Sin señales de recuperación,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.42% con caída del 35.8% | analyst_upgrade (media): Target 149.93 vs precio 99.28 (+51%), recMean 1.72, recKey buy",fuerte,seguimiento,94.32,99.28,94.32 - 99.28,121.37,131.37,121.37 - 131.37,Pérdida del soporte en 94.32 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CAPGEMINI está un 35.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","CAPGEMINI está un 35.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
9022.T,CENTRAL JAPAN RAILWAY CO,ASIA,1.0,script-v2.0,1.0,2026-05-18T11:54:16.287689+02:00,88.0,89.0,81,96,0,7,85,73,12,2834719.0,4.28,9.9,,7.7,26.1,-115.8446,False,1.9,7.9,False,4171.95,-14.7,True,False,True,,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 465.88 vs 390.66 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 0.90% con caída del 26.4% | analyst_upgrade (media): Target 4497.50 vs precio 3557.00 (+26%), recMean 2.42, recKey buy",fuerte,seguimiento,3551.5,3557.0,3551.50 - 3557.00,4105.5,4140.99,4105.50 - 4140.99,Pérdida del soporte en 3551.50 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CENTRAL JAPAN RAILWAY CO está un 26.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","CENTRAL JAPAN RAILWAY CO está un 26.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
RI.PA,PERNOD RICARD,EUROSTOXX,1.0,script-v2.0,1.0,2026-05-18T11:51:33.675097+02:00,84.0,88.3,83,93,0,7,71,59,12,855412.0,3.89,8.0,,9.65,54.6,-5.0463,False,18.9,17.1,False,76.59,-19.5,True,False,True,,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.45 vs 5.83 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 7.63% con caída del 42.7% | analyst_upgrade (media): Target 87.03 vs precio 61.62 (+41%), recMean 2.32, recKey buy",fuerte,seguimiento,58.6,61.62,58.60 - 61.62,78.02,91.33,78.02 - 91.33,Pérdida del soporte en 58.60 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"PERNOD RICARD está un 42.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟡 MACD convergiendo. Clasificación: seguimiento.","PERNOD RICARD está un 42.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟡 MACD convergiendo. Clasificación: seguimiento.",OK,
GIS,"General Mills, Inc.",SP500,1.0,script-v2.0,1.0,2026-05-18T11:53:27.990833+02:00,82.7,87.9,89,87,0,9,67,55,12,9166626.0,-0.12,-100.0,0.2,6.12,52.7,-3.4101,False,2.6,4.7,False,43.49,-24.1,True,False,True,,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,parcial,"debt_reduction (alta): Deuda 0.0M vs 13734.8M | dividend_maintained (baja): Dividendo actual 7.40% con caída del 40.4% | analyst_upgrade (media): Target 40.11 vs precio 32.99 (+22%), recMean 3.05, recKey hold",razonable,seguimiento,31.34,32.99,31.34 - 32.99,43.57,47.05,43.57 - 47.05,Pérdida del soporte en 31.34 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"General Mills, Inc. está un 40.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 23.6%, deuda neta/EBITDA -0.1x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","General Mills, Inc. está un 40.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 23.6%, deuda neta/EBITDA -0.1x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
DSY.PA,DASSAULT SYSTEMES,EUROSTOXX,1.0,script-v2.0,1.0,2026-05-18T11:51:40.126798+02:00,82.5,81.7,95,70,0,6,85,57,28,3037396.0,-1.43,-21.8,0.0,14.29,51.5,-1.4773,True,71.7,70.2,False,22.73,-12.8,True,True,True,,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,parcial,debt_reduction (alta): Deuda 2479.4M vs 3169.2M | dividend_maintained (baja): Dividendo actual 1.36% con caída del 42.5%,fuerte,seguimiento,18.25,18.36,18.25 - 18.36,23.11,29.28,23.11 - 29.28,Pérdida del soporte en 18.25 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"DASSAULT SYSTEMES está un 42.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.4%, deuda neta/EBITDA -1.4x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","DASSAULT SYSTEMES está un 42.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.4%, deuda neta/EBITDA -1.4x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",OK,
4568.T,DAIICHI SANKYO COMPANY LIMITED,ASIA,1.0,script-v2.0,1.0,2026-05-18T11:54:08.120222+02:00,82.2,82.0,98,68,0,7,83,61,22,8977939.0,-0.49,196.5,,14.79,56.4,-200.6078,True,45.9,33.5,False,3200.11,-18.1,True,False,True,,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 155.87 vs 104.62 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.82% con caída del 37.3% | analyst_upgrade (media): Target 4531.76 vs precio 2620.50 (+73%), recMean 1.35, recKey strong_buy",fuerte,seguimiento,2453.0,2620.5,2453.00 - 2620.50,3272.33,3551.3,3272.33 - 3551.30,Pérdida del soporte en 2453.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"DAIICHI SANKYO COMPANY LIMITED está un 37.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.8%, deuda neta/EBITDA -0.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","DAIICHI SANKYO COMPANY LIMITED está un 37.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.8%, deuda neta/EBITDA -0.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",OK,
CPB,The Campbell's Company,SP500,1.0,script-v2.0,1.0,2026-05-18T11:53:28.125922+02:00,82.0,90.9,84,97,0,1,55,43,12,8811375.0,3.92,6.3,0.3,7.34,58.8,-2.3839,False,11.5,13.3,False,26.95,-25.8,True,False,True,Sin señales de recuperación,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,ausente,dividend_maintained (baja): Dividendo actual 7.80% con caída del 44.5%,razonable,seguimiento,19.01,20.01,19.01 - 20.01,27.05,30.63,27.05 - 30.63,Pérdida del soporte en 19.01 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"The Campbell's Company está un 44.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.9%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 base_pattern_detected. Clasificación: seguimiento.","The Campbell's Company está un 44.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.9%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 base_pattern_detected. Clasificación: seguimiento.",OK,
3382.T,SEVEN & I HOLDINGS CO LTD,ASIA,1.0,script-v2.0,1.0,2026-05-18T11:54:17.871428+02:00,81.7,75.9,69,82,0,4,99,82,17,7121939.0,3.56,,-11.9,8.15,28.2,-57.9301,False,32.4,19.2,False,2059.59,-8.8,True,False,True,Sin señales de recuperación,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.19% con caída del 22.3% | analyst_upgrade (media): Target 2412.00 vs precio 1878.50 (+28%), recMean 2.33, recKey buy",fuerte,seguimiento,1849.25,1878.5,1849.25 - 1878.50,2051.92,2054.45,2051.92 - 2054.45,Pérdida del soporte en 1849.25 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"SEVEN & I HOLDINGS CO LTD está un 22.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 7.6%, deuda neta/EBITDA 3.6x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","SEVEN & I HOLDINGS CO LTD está un 22.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 7.6%, deuda neta/EBITDA 3.6x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
HEN3.DE,Henkel AG & Co. KGaA          I,EUROSTOXX,1.0,script-v2.0,1.0,2026-05-18T11:51:11.155178+02:00,81.2,87.3,98,78,0,9,63,48,15,504218.0,0.18,-0.1,,8.28,22.4,-1.7428,True,54.8,49.1,False,68.75,-6.2,False,False,True,,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,parcial,eps_stabilization (media): EPS 4.92 vs 4.80 (annual_eps_fallback) | debt_reduction (alta): Deuda 3708.0M vs 3711.0M | dividend_maintained (baja): Dividendo actual 3.21% con caída del 23.4%,razonable,seguimiento,62.14,64.5,62.14 - 64.50,68.79,71.57,68.79 - 71.57,Pérdida del soporte en 62.14 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"Henkel AG & Co. KGaA          I está un 23.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 9.7%, deuda neta/EBITDA 0.2x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","Henkel AG & Co. KGaA          I está un 23.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 9.7%, deuda neta/EBITDA 0.2x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",OK,
TWE.AX,TREA WINE FPO [TWE],ASX,1.0,script-v2.0,1.0,2026-05-18T11:53:57.835950+02:00,81.0,86.9,72,100,0,7,63,41,22,6380364.0,1.81,,,-20.09,64.8,-0.5126,True,36.1,35.0,False,5.45,-22.9,True,False,True,,pass,seguimiento,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 0.54 vs 0.13 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 9.52% con caída del 51.3% | analyst_upgrade (media): Target 5.45 vs precio 4.20 (+30%), recMean 2.43, recKey buy",razonable,seguimiento,4.04,4.12,4.04 - 4.12,5.6,7.34,5.60 - 7.34,Pérdida del soporte en 4.12 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"TREA WINE FPO [TWE] está un 51.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","TREA WINE FPO [TWE] está un 51.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",OK,
