Ticker,Nombre,Mercado,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Score_Tecnico_Base,Score_Tecnico_Bonus,Vol_Medio_Diario,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Variacion_Margen_pp,EV_EBITDA,Caida_Max_Multianual_%,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Paso_Filtro,hard_rules_applied,Capa1_Status,Base_Classification,Causal_Classification,Causal_Confidence,Problem_Type,Causal_Justification,Recovery_Status,Recovery_Signals,Technical_Status,Final_Classification,Entry_Zone_Min,Entry_Zone_Max,Entry_Zone,Exit_Zone_Min,Exit_Zone_Max,Exit_Zone,Invalidation_Conditions,Estimated_Horizon_Months,Short_Explanation,Summary_Explanation,Estado,Error
CAP.PA,CAPGEMINI,EUROSTOXX,1.0,script-v2.0,1.0,2026-06-30T11:24:22.020011+02:00,92.5,96.7,93.0,100.0,0.0,4.0,80.0,68.0,12.0,734339.0,2.29,55.8,,7.61,53.3,-7.4196,False,16.7,21.8,False,113.33,-21.9,True,False,True,Sin señales de recuperación,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.84% con caída del 42.2% | analyst_upgrade (media): Target 145.58 vs precio 88.50 (+64%), recMean 1.76, recKey buy",fuerte,seguimiento,86.61,88.5,86.61 - 88.50,114.04,130.09,114.04 - 130.09,Pérdida del soporte en 86.61 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"CAPGEMINI está un 42.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","CAPGEMINI está un 42.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
0700.HK,TENCENT,ASIA,1.0,script-v2.0,1.0,2026-06-30T11:26:53.022312+02:00,89.5,89.4,99.0,81.0,0.0,7.0,90.0,68.0,22.0,29780911.0,-0.19,,-0.5,13.55,36.3,-33.7696,True,28.6,14.6,False,540.7,-20.5,True,False,True,,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.30 vs 6.28 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 1.23% con caída del 37.1% | analyst_upgrade (media): Target 705.26 vs precio 429.80 (+64%), recMean 1.33, recKey strong_buy",fuerte,seguimiento,415.7,429.8,415.70 - 429.80,554.07,580.55,554.07 - 580.55,Pérdida del soporte en 415.70 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"TENCENT está un 37.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 20.5%, deuda neta/EBITDA -0.2x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","TENCENT está un 37.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 20.5%, deuda neta/EBITDA -0.2x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
CPB,The Campbell's Company,SP500,1.0,script-v2.0,1.0,2026-06-30T11:26:09.019163+02:00,85.8,84.3,79.0,89.0,0.0,4.0,90.0,57.0,33.0,9345463.0,4.07,3.7,0.4,8.09,52.6,-1.3046,True,92.0,81.0,False,25.27,-9.0,True,True,True,Sin señales de recuperación,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,ausente,margin_stabilization (media): Margen gross 27.5% vs 28.0% (-0.5 pp) | dividend_maintained (baja): Dividendo actual 6.78% con caída del 32.7%,fuerte,seguimiento,20.19,21.1,20.19 - 21.10,25.63,29.04,25.63 - 29.04,Pérdida del soporte en 20.19 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"The Campbell's Company está un 32.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.4%, deuda neta/EBITDA 4.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","The Campbell's Company está un 32.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.4%, deuda neta/EBITDA 4.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",OK,
RI.PA,PERNOD RICARD,EUROSTOXX,1.0,script-v2.0,1.0,2026-06-30T11:24:30.923680+02:00,83.8,88.3,83.0,93.0,0.0,7.0,70.0,48.0,22.0,742057.0,3.89,8.0,,9.93,51.0,-3.638,True,48.1,63.9,False,72.7,-11.9,True,False,True,,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.45 vs 5.83 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 7.34% con caída del 40.4% | analyst_upgrade (media): Target 86.53 vs precio 64.04 (+35%), recMean 2.37, recKey buy",fuerte,seguimiento,61.51,63.66,61.51 - 63.66,73.38,91.33,73.38 - 91.33,Pérdida del soporte en 61.51 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"PERNOD RICARD está un 40.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","PERNOD RICARD está un 40.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",OK,
T,AT&T Inc.,SP500,1.0,script-v2.0,1.0,2026-06-30T11:25:22.471957+02:00,83.6,85.8,89.0,83.0,0.0,10.0,77.0,77.0,0.0,43837060.0,3.33,3.0,-0.1,7.15,25.1,-0.9664,False,23.2,31.6,False,25.29,-13.7,False,False,True,,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,parcial,"margin_stabilization (media): Margen gross 60.1% vs 55.7% (+4.4 pp) | eps_stabilization (media): EPS 0.54 vs 0.53 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 5.09% con caída del 26.8% | analyst_upgrade (media): Target 30.24 vs precio 21.82 (+39%), recMean 1.92, recKey buy",fuerte,seguimiento,20.73,21.82,20.73 - 21.82,25.32,25.51,25.32 - 25.51,Pérdida del soporte en 20.73 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"AT&T Inc. está un 26.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 18.4%, deuda neta/EBITDA 3.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","AT&T Inc. está un 26.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 18.4%, deuda neta/EBITDA 3.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
035420.KS,NAVER,ASIA,1.0,script-v2.0,1.0,2026-06-30T11:26:57.342572+02:00,82.8,81.4,75.0,87.0,0.0,7.0,87.0,75.0,12.0,1842388.0,-1.21,27.2,0.0,9.52,34.5,-5232.8872,False,11.6,12.0,False,235416.23,-15.5,True,False,True,,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,parcial,"margin_stabilization (media): Margen gross 100.0% vs 100.0% (+0.0 pp) | dividend_maintained (baja): Dividendo actual 1.32% con caída del 34.5% | analyst_upgrade (media): Target 305814.80 vs precio 199000.00 (+54%), recMean 1.67, recKey buy",fuerte,seguimiento,194416.67,199000.0,194416.67 - 199000.00,235481.17,258400.0,235481.17 - 258400.00,Pérdida del soporte en 194416.67 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"NAVER está un 34.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 5.7%, deuda neta/EBITDA -1.2x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","NAVER está un 34.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 5.7%, deuda neta/EBITDA -1.2x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
9022.T,CENTRAL JAPAN RAILWAY CO,ASIA,1.0,script-v2.0,1.0,2026-06-30T11:26:45.274918+02:00,81.9,87.1,77.0,96.0,0.0,7.0,66.0,44.0,22.0,3196643.0,4.28,11.6,,7.56,27.9,-213.2149,True,85.0,81.5,False,4070.67,-14.8,True,False,True,,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 570.84 vs 465.88 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 0.92% con caída del 28.2% | analyst_upgrade (media): Target 4376.67 vs precio 3469.00 (+26%), recKey none",razonable,seguimiento,3249.0,3469.0,3249.00 - 3469.00,4100.28,4105.5,4100.28 - 4105.50,Pérdida del soporte en 3249.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CENTRAL JAPAN RAILWAY CO está un 28.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 MACD semanal girando al alza. Clasificación: seguimiento.","CENTRAL JAPAN RAILWAY CO está un 28.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 MACD semanal girando al alza. Clasificación: seguimiento.",OK,
7203.T,TOYOTA MOTOR CORP,ASIA,1.0,script-v2.0,1.0,2026-06-30T11:26:33.902995+02:00,81.2,79.9,73.0,86.0,0.0,4.0,85.0,73.0,12.0,25538079.0,5.35,4.2,0.0,11.99,30.9,-123.7795,False,15.7,27.8,False,3184.2,-14.4,True,False,True,Sin señales de recuperación,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.67% con caída del 31.9% | analyst_upgrade (media): Target 3657.58 vs precio 2725.00 (+34%), recMean 1.78, recKey buy",fuerte,seguimiento,2588.75,2725.0,2588.75 - 2725.00,3153.11,3400.0,3153.11 - 3400.00,Pérdida del soporte en 2588.75 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"TOYOTA MOTOR CORP está un 31.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 5.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","TOYOTA MOTOR CORP está un 31.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 5.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",OK,
9021.T,WEST JAPAN RAILWAY CO,ASIA,1.0,script-v2.0,1.0,2026-06-30T11:26:44.009549+02:00,80.2,87.3,83.0,91.0,0.0,4.0,59.0,44.0,15.0,2703677.0,3.48,5.3,,7.14,21.5,-135.4248,True,88.0,95.8,False,3011.55,-9.5,False,False,True,Sin señales de recuperación,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 277.73 vs 240.08 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.58% con caída del 23.8%,razonable,seguimiento,2710.0,2717.27,2710.00 - 2717.27,3038.23,3040.45,3038.23 - 3040.45,Pérdida del soporte en 2710.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"WEST JAPAN RAILWAY CO está un 23.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","WEST JAPAN RAILWAY CO está un 23.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",OK,
DSY.PA,DASSAULT SYSTEMES,EUROSTOXX,1.0,script-v2.0,1.0,2026-06-30T11:24:41.603268+02:00,80.2,84.5,100.0,71.0,0.0,9.0,67.0,55.0,12.0,2627357.0,-1.43,-21.8,0.0,12.84,55.4,-1.2176,False,48.2,42.7,False,21.11,-14.8,True,False,True,,pass,seguimiento,pendiente,0.0,desconocido,Pendiente de implementar,parcial,"debt_reduction (alta): Deuda 2479.4M vs 3169.2M | dividend_maintained (baja): Dividendo actual 1.50% con caída del 45.7% | analyst_upgrade (media): Target 22.82 vs precio 17.99 (+27%), recMean 2.60, recKey hold",razonable,seguimiento,17.42,17.99,17.42 - 17.99,21.56,28.19,21.56 - 28.19,Pérdida del soporte en 17.42 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"DASSAULT SYSTEMES está un 45.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.4%, deuda neta/EBITDA -1.4x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Cerca de soporte. Clasificación: seguimiento.","DASSAULT SYSTEMES está un 45.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.4%, deuda neta/EBITDA -1.4x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Cerca de soporte. Clasificación: seguimiento.",OK,
