Rank,Ticker,Nombre,Mercado,Sector,Industria,País,Moneda,Precio,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score_Total,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Clasificacion,Clasificacion_Base,hard_rules_applied,Capa1_Pasa,Capa1_Status,Capa2_Causal_Classification,Capa2_Causal_Confidence,Capa2_Problem_Type,Capa2_Justification,Capa3_Recovery_Status,Capa3_Recovery_Signals,Capa4_Status,Capa5_Final_Classification,Capa5_Entry_Zone_Min,Capa5_Entry_Zone_Max,Capa5_Entry_Zone,Capa5_Exit_Zone_Min,Capa5_Exit_Zone_Max,Capa5_Exit_Zone,Capa5_Invalidation_Conditions,Capa5_Estimated_Horizon_Months,Capa5_Short_Explanation,Capa5_Summary_Explanation,Señales,Div_Yield_Actual_%,Historial_Div_Años_10,Consec_Antes_Corte,Recorte_Reciente,Payout_%,D/E,Vol_Medio_Diario,Net_Debt,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Tipo_Margen,Margen_Actual_%,Margen_Medio_4T_%,Variacion_Margen_pp,ROE_%,Cap_Millones,PER,P/B,EV_EBITDA,Caida_52s_%,Caida_Max_Multianual_%,Dist_SMA200_%,RSI_14,MACD_Cruce,MACD_Convergiendo,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Technical_Base_Score,Technical_Bonus_Points,Vol_Ratio,Soporte,SMA50_Girando
1,RI.PA,PERNOD RICARD,EUROSTOXX,Consumer Defensive,Beverages - Wineries & Distilleries,France,EUR,59.8,1.0,script-v2.0,1.0,2026-09-18T12:24:33.900649+02:00,86.7,91.5,83,99,0,12,72,entrada_directa,entrada_directa,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"eps_stabilization (media): EPS 6.45 vs 5.83 (annual_eps_fallback) | debt_reduction (alta): Deuda 12678.0M vs 13602.0M | dividend_maintained (baja): Dividendo actual 7.86% con caída del 34.0% | analyst_upgrade (media): Target 81.76 vs precio 59.80 (+37%), recMean 2.50, recKey buy",fuerte,entrada_directa,56.81,59.8,56.81 - 59.80,66.69,76.96,66.69 - 76.96,Pérdida del soporte en 56.81 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"PERNOD RICARD está un 34.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 7.6%, deuda neta/EBITDA 3.9x. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: entrada_directa.","PERNOD RICARD está un 34.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 7.6%, deuda neta/EBITDA 3.9x. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: entrada_directa.",🔵 RSI en sobreventa | 🟡 MACD convergiendo | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,7.86,11,20,False,84.0,0.77,689192.0,10684999680.0,3.91,-6.8,,58.4,,,7.6,15058.0,10.7,0.97,9.82,34.0,52.4,-10.3,34.7,False,True,-1.5957,False,13.9,17.6,False,66.39,-9.9,True,False,55,17,0.67,,False
2,MC.PA,LVMH,EUROSTOXX,Consumer Cyclical,Luxury Goods,France,EUR,406.75,1.0,script-v2.0,1.0,2026-09-18T12:24:31.775439+02:00,85.8,86.1,100,74,0,4,85,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.20% con caída del 37.9% | analyst_upgrade (media): Target 551.93 vs precio 406.75 (+36%), recMean 1.88, recKey buy",fuerte,seguimiento,405.25,406.75,405.25 - 406.75,502.51,556.5,502.51 - 556.50,Pérdida del soporte en 405.25 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"LVMH está un 37.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 16.6%, deuda neta/EBITDA 1.2x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","LVMH está un 37.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 16.6%, deuda neta/EBITDA 1.2x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟢 Divergencia alcista RSI | 🟡 MACD convergiendo | 🟢 Cerca de soporte | 🟢 base_pattern_detected,3.2,11,20,False,59.2,0.53,524068.0,24936998912.0,1.24,1.1,,66.4,,,16.6,200514.0,18.5,2.95,11.46,37.9,44.5,-19.1,32.9,False,True,-21.4466,False,6.2,7.7,False,498.31,-18.4,True,False,73,12,0.98,405.25,False
3,0016.HK,SHK PPT,ASIA,Real Estate,Real Estate - Development,Hong Kong,HKD,107.7,1.0,script-v2.0,1.0,2026-09-18T12:26:35.430916+02:00,82.1,77.5,86,70,0,7,96,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 7.39 vs 6.65 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.63% con caída del 27.6% | analyst_upgrade (media): Target 142.99 vs precio 107.70 (+33%), recMean 1.86, recKey buy",fuerte,seguimiento,106.2,107.7,106.20 - 107.70,121.22,126.48,121.22 - 126.48,Pérdida del soporte en 106.20 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"SHK PPT está un 27.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 3.5%, deuda neta/EBITDA 2.5x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","SHK PPT está un 27.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 3.5%, deuda neta/EBITDA 2.5x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟢 Divergencia alcista RSI | 🟡 MACD convergiendo | 🟢 Volumen creciente | 🟢 Cerca de soporte | 🟢 base_pattern_detected,3.63,11,20,False,51.1,0.15,5320955.0,66766997504.0,2.47,,,34.1,,,3.5,312091.0,14.6,0.49,14.28,27.6,27.2,-11.2,33.9,False,True,-1.9925,False,12.1,15.8,False,123.08,-12.5,True,False,84,12,1.32,106.2,False
4,LOW,"Lowe's Companies, Inc.",SP500,Consumer Cyclical,Home Improvement Retail,United States,USD,194.19,1.0,script-v2.0,1.0,2026-09-18T12:25:24.422816+02:00,81.5,83.1,74,91,0,15,77,entrada_directa,entrada_directa,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"margin_stabilization (media): Margen gross 33.0% vs 32.7% (+0.4 pp) | eps_stabilization (media): EPS 4.27 vs 2.90 (Diluted EPS) | debt_reduction (alta): Deuda 42031.0M vs 42540.0M | dividend_maintained (baja): Dividendo actual 2.57% con caída del 33.7% | analyst_upgrade (media): Target 252.30 vs precio 194.19 (+30%), recMean 1.80, recKey buy",fuerte,entrada_directa,184.48,194.19,184.48 - 194.19,232.84,249.1,232.84 - 249.10,Pérdida del soporte en 184.48 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"Lowe's Companies, Inc. está un 33.7% por debajo de su máximo 52s. Fundamentalmente sólida con deuda neta/EBITDA 3.0x, dividendo 2.6%. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: entrada_directa.","Lowe's Companies, Inc. está un 33.7% por debajo de su máximo 52s. Fundamentalmente sólida con deuda neta/EBITDA 3.0x, dividendo 2.6%. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: entrada_directa.",🔵 RSI en sobreventa | 🟡 MACD convergiendo | 🟢 Estocástico sale de sobreventa | 🟢 base_pattern_detected,2.57,11,20,False,41.0,,3061600.0,38859001600.0,3.05,-1.2,gross,33.0,33.1,-0.1,,108951.0,16.4,-14.65,11.61,33.7,33.0,-16.6,32.6,False,True,-9.1024,False,5.5,4.2,True,232.12,-16.3,True,False,59,18,1.01,,False
5,FMG.AX,FORTESCUE FPO [FMG],ASX,Basic Materials,Other Industrial Metals & Mining,Australia,AUD,16.73,1.0,script-v2.0,1.0,2026-09-18T12:26:10.801799+02:00,80.6,82.1,96,70,0,1,76,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,dividend_maintained (baja): Dividendo actual 6.46% con caída del 28.4%,fuerte,seguimiento,15.89,16.73,15.89 - 16.73,19.48,19.87,19.48 - 19.87,Pérdida del soporte en 15.89 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"FORTESCUE FPO [FMG] está un 28.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 14.2%, deuda neta/EBITDA 0.1x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","FORTESCUE FPO [FMG] está un 28.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 14.2%, deuda neta/EBITDA 0.1x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",🔵 RSI recuperándose de sobreventa | 🟢 Divergencia alcista RSI | 🟡 MACD convergiendo | 🟢 base_pattern_detected,6.46,11,16,False,89.5,0.29,6472765.0,856999936.0,0.1,9.0,,40.1,,,14.2,51511.0,12.8,1.8,6.41,28.4,25.7,-14.1,43.7,False,True,-0.7356,False,33.5,30.3,False,19.36,-13.6,True,False,64,12,1.26,,False
6,DG.PA,VINCI,EUROSTOXX,Industrials,Engineering & Construction,France,EUR,112.05,1.0,script-v2.0,1.0,2026-09-18T12:24:28.084263+02:00,79.6,77.8,89,68,0,7,85,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 8.65 vs 8.43 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 4.51% con caída del 21.7% | analyst_upgrade (media): Target 143.38 vs precio 112.05 (+28%), recMean 1.90, recKey buy",fuerte,seguimiento,110.6,112.05,110.60 - 112.05,121.68,122.97,121.68 - 122.97,Pérdida del soporte en 110.60 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"VINCI está un 21.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 16.3%, deuda neta/EBITDA 2.0x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","VINCI está un 21.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 16.3%, deuda neta/EBITDA 2.0x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🔵 RSI recuperándose de sobreventa | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,4.51,11,20,False,55.5,1.21,856172.0,25782998016.0,2.02,9.7,,17.0,,,16.3,61954.0,12.4,2.03,7.2,21.7,19.4,-8.9,38.7,True,False,-2.7261,False,37.4,23.7,False,123.1,-9.0,True,False,68,17,0.85,110.6,False
7,CAP.PA,CAPGEMINI,EUROSTOXX,Technology,Information Technology Services,France,EUR,106.3,1.0,script-v2.0,1.0,2026-09-18T12:24:26.809536+02:00,79.0,82.7,95,72,0,4,68,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.20% con caída del 30.5% | analyst_upgrade (media): Target 140.51 vs precio 106.30 (+32%), recMean 1.76, recKey buy",razonable,seguimiento,102.74,104.96,102.74 - 104.96,108.0,130.09,108.00 - 130.09,Pérdida del soporte en 104.96 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CAPGEMINI está un 30.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 12.2%, deuda neta/EBITDA 2.6x. Técnicamente 🟡 MACD convergiendo, 🟢 Cerca de soporte. Clasificación: seguimiento.","CAPGEMINI está un 30.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 12.2%, deuda neta/EBITDA 2.6x. Técnicamente 🟡 MACD convergiendo, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟡 MACD convergiendo | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected | 🟡 trendline_break,3.2,11,20,False,43.2,0.88,619587.0,7907000320.0,2.56,7.7,,26.8,,,12.2,17646.0,13.5,1.54,8.42,30.5,43.8,-1.6,50.9,False,True,-0.2952,False,53.6,58.9,False,106.66,-0.3,True,True,45,23,0.83,104.96,True
8,SGO.PA,SAINT GOBAIN,EUROSTOXX,Industrials,Building Products & Equipment,France,EUR,69.94,1.0,script-v2.0,1.0,2026-09-18T12:24:35.054675+02:00,78.6,86.5,95,79,0,12,55,entrada_escalada,entrada_escalada,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"eps_stabilization (media): EPS 5.78 vs 5.64 (annual_eps_fallback) | debt_reduction (alta): Deuda 17270.0M vs 17729.0M | dividend_maintained (baja): Dividendo actual 3.29% con caída del 27.0% | analyst_upgrade (media): Target 97.66 vs precio 69.94 (+40%), recMean 1.94, recKey buy",razonable,entrada_escalada,66.44,69.94,66.44 - 69.94,77.88,81.48,77.88 - 81.48,Pérdida del soporte en 66.44 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"SAINT GOBAIN está un 27.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.0%, deuda neta/EBITDA 1.8x. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: entrada_escalada.","SAINT GOBAIN está un 27.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.0%, deuda neta/EBITDA 1.8x. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: entrada_escalada.",🔵 RSI en sobreventa | 🟡 MACD convergiendo,3.29,10,6,False,42.7,0.66,1002319.0,11518999552.0,1.75,-2.6,,27.2,,,11.0,34182.0,13.0,1.35,7.08,27.0,31.1,-10.2,27.7,False,True,-0.8969,False,13.5,10.8,False,77.76,-10.1,False,False,55,0,0.88,,False
9,GSK.L,GSK PLC ORD 31 1/4P,EUROSTOXX,Healthcare,Drug Manufacturers - General,United Kingdom,GBp,1882.0,1.0,script-v2.0,1.0,2026-09-18T12:25:02.197441+02:00,78.5,71.3,91,54,0,6,100,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,debt_reduction (alta): Deuda 18293.0M vs 19056.0M | dividend_maintained (baja): Dividendo actual 0.04% con caída del 17.5%,fuerte,seguimiento,1850.68,1882.0,1850.68 - 1882.00,1939.7,1950.86,1939.70 - 1950.86,Pérdida del soporte en 1850.68 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"GSK PLC ORD 31 1/4P está un 17.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 33.4%, deuda neta/EBITDA 1.4x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","GSK PLC ORD 31 1/4P está un 17.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 33.4%, deuda neta/EBITDA 1.4x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Volumen creciente | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,0.04,11,20,False,56.9,1.06,7141525.0,15187000320.0,1.4,-4.0,gross,73.5,72.8,0.7,33.4,75386.0,15.9,4.27,8.4,17.5,17.5,-3.5,53.0,True,False,-20.452,True,78.9,79.6,False,1954.59,-3.7,True,False,75,27,1.36,1850.68,False
10,035420.KS,NAVER,ASIA,Communication Services,Internet Content & Information,South Korea,KRW,197700.0,1.0,script-v2.0,1.0,2026-09-18T12:26:45.097134+02:00,78.1,81.4,75,87,0,10,68,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"margin_stabilization (media): Margen gross 100.0% vs 100.0% (+0.0 pp) | eps_stabilization (media): EPS 4635.00 vs 1864.00 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 1.33% con caída del 35.0% | analyst_upgrade (media): Target 300500.00 vs precio 197700.00 (+52%), recMean 1.58, recKey buy",razonable,seguimiento,182800.0,197700.0,182800.00 - 197700.00,224310.01,258400.0,224310.01 - 258400.00,Pérdida del soporte en 182800.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"NAVER está un 35.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 6.4%, deuda neta/EBITDA -1.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","NAVER está un 35.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 6.4%, deuda neta/EBITDA -1.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Bajo SMA200 con SMA50 girando | 🟢 Estocástico sale de sobreventa | 🟢 base_pattern_detected,1.33,10,2,False,19.6,0.18,1043996.0,-3356823650304.0,-1.11,15.6,gross,100.0,100.0,0.0,6.4,29616318.0,13.5,,9.24,35.0,35.0,-11.9,38.4,False,False,-4634.8537,False,6.8,5.1,True,223327.57,-11.5,True,False,50,18,1.2,182800.0,True
