Rank,Ticker,Nombre,Mercado,Sector,Industria,País,Moneda,Precio,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score_Total,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Clasificacion,Clasificacion_Base,hard_rules_applied,Capa1_Pasa,Capa1_Status,Capa2_Causal_Classification,Capa2_Causal_Confidence,Capa2_Problem_Type,Capa2_Justification,Capa3_Recovery_Status,Capa3_Recovery_Signals,Capa4_Status,Capa5_Final_Classification,Capa5_Entry_Zone_Min,Capa5_Entry_Zone_Max,Capa5_Entry_Zone,Capa5_Exit_Zone_Min,Capa5_Exit_Zone_Max,Capa5_Exit_Zone,Capa5_Invalidation_Conditions,Capa5_Estimated_Horizon_Months,Capa5_Short_Explanation,Capa5_Summary_Explanation,Señales,Div_Yield_Actual_%,Historial_Div_Años_10,Consec_Antes_Corte,Recorte_Reciente,Payout_%,D/E,Vol_Medio_Diario,Net_Debt,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Tipo_Margen,Margen_Actual_%,Margen_Medio_4T_%,Variacion_Margen_pp,ROE_%,Cap_Millones,PER,P/B,EV_EBITDA,Caida_52s_%,Caida_Max_Multianual_%,Dist_SMA200_%,RSI_14,MACD_Cruce,MACD_Convergiendo,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Technical_Base_Score,Technical_Bonus_Points,Vol_Ratio,Soporte,SMA50_Girando
1,CAP.PA,CAPGEMINI,EUROSTOXX,Technology,Information Technology Services,France,EUR,96.72,1.0,script-v2.0,1.0,2026-06-13T10:51:16.481495+02:00,88.4,96.2,93,99,0,4,65,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.52% con caída del 37.3% | analyst_upgrade (media): Target 147.60 vs precio 96.72 (+53%), recMean 1.72, recKey buy",razonable,seguimiento,95.96,96.72,95.96 - 96.72,115.7,131.11,115.70 - 131.11,Pérdida del soporte en 95.96 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CAPGEMINI está un 37.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","CAPGEMINI está un 37.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Bajo SMA200 con SMA50 girando | 🟢 Cerca de soporte | 🟢 base_pattern_detected,3.52,11,20,False,37.2,0.81,724554.0,6643999744.0,2.29,55.8,,27.0,,,13.7,16166.0,10.6,1.41,7.97,37.3,48.9,-16.4,45.1,False,False,-6.5783,False,20.8,22.4,False,115.54,-16.3,True,False,53,12,1.05,95.96,True
2,9022.T,CENTRAL JAPAN RAILWAY CO,ASIA,Industrials,Railroads,Japan,JPY,3365.0,1.0,script-v2.0,1.0,2026-06-13T10:53:35.846006+02:00,88.4,89.5,81,97,0,7,85,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 465.88 vs 390.66 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 0.95% con caída del 30.3% | analyst_upgrade (media): Target 4376.67 vs precio 3365.00 (+30%), recMean 2.42, recKey buy",fuerte,seguimiento,3277.0,3365.0,3277.00 - 3365.00,4105.5,4133.06,4105.50 - 4133.06,Pérdida del soporte en 3277.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CENTRAL JAPAN RAILWAY CO está un 30.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","CENTRAL JAPAN RAILWAY CO está un 30.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🔵 RSI recuperándose de sobreventa | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟢 base_pattern_detected,0.95,11,20,False,5.6,0.94,2953230.0,4437330165760.0,4.28,9.9,,52.2,,,11.5,3214434.0,5.9,0.63,7.45,30.3,30.1,-18.6,36.1,True,False,-193.8019,False,30.0,50.5,False,4130.25,-18.5,True,False,73,12,1.22,3277.0,False
3,RI.PA,PERNOD RICARD,EUROSTOXX,Consumer Defensive,Beverages - Wineries & Distilleries,France,EUR,63.44,1.0,script-v2.0,1.0,2026-06-13T10:51:24.635726+02:00,87.8,88.3,83,93,0,7,86,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.45 vs 5.83 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 7.41% con caída del 41.0% | analyst_upgrade (media): Target 86.53 vs precio 63.44 (+36%), recMean 2.37, recKey buy",fuerte,seguimiento,61.57,63.44,61.57 - 63.44,75.05,91.33,75.05 - 91.33,Pérdida del soporte en 61.57 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"PERNOD RICARD está un 41.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","PERNOD RICARD está un 41.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,7.41,10,0,False,84.0,0.82,780737.0,11203999744.0,3.89,8.0,,58.4,,,8.6,15975.0,11.3,1.03,9.8,41.0,51.5,-15.5,50.9,True,False,-4.4745,True,47.6,42.8,False,74.23,-14.5,True,False,64,22,0.87,61.57,False
4,4568.T,DAIICHI SANKYO COMPANY LIMITED,ASIA,Healthcare,Drug Manufacturers - General,Japan,JPY,2500.5,1.0,script-v2.0,1.0,2026-06-13T10:53:30.274521+02:00,85.3,89.5,98,82,0,4,73,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 4.00% con caída del 40.2% | analyst_upgrade (media): Target 4281.76 vs precio 2500.50 (+71%), recMean 1.41, recKey strong_buy",fuerte,seguimiento,2470.25,2500.5,2470.25 - 2500.50,3183.29,3551.3,3183.29 - 3551.30,Pérdida del soporte en 2470.25 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"DAIICHI SANKYO COMPANY LIMITED está un 40.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.8%, deuda neta/EBITDA -0.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟡 MACD convergiendo. Clasificación: seguimiento.","DAIICHI SANKYO COMPANY LIMITED está un 40.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.8%, deuda neta/EBITDA -0.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟡 MACD convergiendo. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟡 MACD convergiendo | 🟢 Cerca de soporte | 🟢 base_pattern_detected,4.0,11,20,False,55.6,0.18,8859505.0,-149326004224.0,-0.49,196.5,,68.5,,,15.8,4550043.0,17.8,2.73,14.36,40.2,58.4,-21.4,42.1,False,True,-194.26,False,27.6,26.1,False,3128.59,-20.1,True,False,61,12,0.89,2470.25,False
5,9021.T,WEST JAPAN RAILWAY CO,ASIA,Industrials,Railroads,Japan,JPY,2577.5,1.0,script-v2.0,1.0,2026-06-13T10:53:35.489865+02:00,85.0,89.0,81,96,0,4,73,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 277.73 vs 240.08 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.78% con caída del 27.9%,fuerte,seguimiento,2453.0,2577.5,2453.00 - 2577.50,3040.45,3077.24,3040.45 - 3077.24,Pérdida del soporte en 2453.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"WEST JAPAN RAILWAY CO está un 27.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","WEST JAPAN RAILWAY CO está un 27.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🔵 RSI recuperándose de sobreventa | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte,3.78,11,20,False,35.1,1.15,2699055.0,1308535029760.0,3.48,7.0,gross,25.0,25.6,-0.5,10.2,1172979.0,9.3,0.97,6.95,27.9,25.8,-16.2,38.9,True,False,-142.2158,False,53.0,58.8,False,3056.1,-15.7,False,False,73,0,1.01,2453.0,False
6,SGO.PA,SAINT GOBAIN,EUROSTOXX,Industrials,Building Products & Equipment,France,EUR,75.76,1.0,script-v2.0,1.0,2026-06-13T10:51:25.447000+02:00,82.4,76.9,95,61,0,12,99,entrada_directa,entrada_directa,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"eps_stabilization (media): EPS 5.78 vs 5.64 (annual_eps_fallback) | debt_reduction (alta): Deuda 18088.0M vs 18384.0M | dividend_maintained (baja): Dividendo actual 3.04% con caída del 27.6% | analyst_upgrade (media): Target 97.18 vs precio 75.76 (+28%), recMean 1.89, recKey buy",fuerte,entrada_directa,71.61,74.33,71.61 - 74.33,80.53,88.95,80.53 - 88.95,Pérdida del soporte en 71.61 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"SAINT GOBAIN está un 27.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.7%, deuda neta/EBITDA 1.6x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: entrada_directa.","SAINT GOBAIN está un 27.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.7%, deuda neta/EBITDA 1.6x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: entrada_directa.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Bajo SMA200 con SMA50 girando | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected | 🟡 trendline_break,3.04,10,6,False,38.1,0.72,1325576.0,10505999360.0,1.55,-1.6,,27.8,,,11.7,36878.0,13.1,1.52,7.15,27.6,25.4,-5.9,54.1,True,False,-2.1933,True,57.0,33.1,False,80.19,-5.5,True,True,66,33,1.1,71.61,True
7,BEI.DE,BEIERSDORF AG                 I,EUROSTOXX,Consumer Defensive,Household & Personal Products,Germany,EUR,70.54,1.0,script-v2.0,1.0,2026-06-13T10:51:11.390529+02:00,82.0,80.7,69,91,0,7,86,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 4.05 vs 3.24 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 1.42% con caída del 38.3% | analyst_upgrade (media): Target 88.05 vs precio 70.54 (+25%), recMean 2.50, recKey buy",fuerte,seguimiento,67.08,70.54,67.08 - 70.54,86.68,97.2,86.68 - 97.20,Pérdida del soporte en 67.08 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"BEIERSDORF AG                 I está un 38.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.2%, deuda neta/EBITDA -1.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","BEIERSDORF AG                 I está un 38.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.2%, deuda neta/EBITDA -1.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,1.42,11,20,False,23.5,2.52,488710.0,-2359999936.0,-1.47,90.4,,57.7,,,11.2,15415.0,16.6,1.79,8.13,38.3,50.9,-18.6,48.9,True,False,-6.7059,True,51.2,50.9,False,86.19,-18.2,True,False,64,22,0.78,67.08,False
8,TWE.AX,TREA WINE FPO [TWE],ASX,Consumer Defensive,Beverages - Wineries & Distilleries,Australia,AUD,4.86,1.0,script-v2.0,1.0,2026-06-13T10:53:23.015272+02:00,81.9,80.5,72,88,0,4,86,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 0.54 vs 0.13 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 8.23% con caída del 43.3%,fuerte,seguimiento,4.28,4.49,4.28 - 4.49,5.32,7.28,5.32 - 7.28,Pérdida del soporte en 4.49 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"TREA WINE FPO [TWE] está un 43.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","TREA WINE FPO [TWE] está un 43.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Cruce alcista MACD | 🟢 Bajo SMA200 con SMA50 girando | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected | 🟡 trendline_break,8.23,10,0,False,72.4,0.54,5999498.0,1862100064.0,1.81,,,46.1,,,-9.9,3924.0,14.4,1.02,-21.96,43.3,59.3,-8.6,67.3,True,False,-0.3307,True,93.3,87.9,False,5.21,-6.8,True,True,53,33,1.06,4.49,True
9,7203.T,TOYOTA MOTOR CORP,ASIA,Consumer Cyclical,Auto Manufacturers,Japan,JPY,2775.5,1.0,script-v2.0,1.0,2026-06-13T10:53:23.841268+02:00,81.0,79.4,73,85,0,4,86,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.60% con caída del 30.6% | analyst_upgrade (media): Target 3735.78 vs precio 2775.50 (+35%), recMean 1.78, recKey buy",fuerte,seguimiento,2636.72,2775.5,2636.72 - 2775.50,3156.1,3400.0,3156.10 - 3400.00,Pérdida del soporte en 2636.72 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"TOYOTA MOTOR CORP está un 30.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 5.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","TOYOTA MOTOR CORP está un 30.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 5.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟢 Divergencia alcista RSI | 🟡 MACD convergiendo | 🟢 Estocástico sale de sobreventa | 🟢 base_pattern_detected,3.6,11,20,False,32.2,1.07,24417460.0,30048937574400.0,5.35,4.2,gross,16.7,16.7,0.0,10.2,36174157.0,9.4,0.91,11.99,30.6,29.6,-12.1,34.5,False,True,-84.3944,False,15.7,10.5,True,3190.5,-13.0,True,False,68,18,1.06,,False
10,CPB,The Campbell's Company,SP500,Consumer Defensive,Packaged Foods,United States,USD,22.81,1.0,script-v2.0,1.0,2026-06-13T10:52:58.165646+02:00,80.2,84.3,79,89,0,4,68,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,margin_stabilization (media): Margen gross 27.5% vs 28.0% (-0.5 pp) | dividend_maintained (baja): Dividendo actual 6.84% con caída del 33.2%,razonable,seguimiento,20.17,20.9,20.17 - 20.90,26.11,29.04,26.11 - 29.04,Pérdida del soporte en 20.17 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"The Campbell's Company está un 33.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.4%, deuda neta/EBITDA 4.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","The Campbell's Company está un 33.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.4%, deuda neta/EBITDA 4.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Bajo SMA200 con SMA50 girando | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,6.84,11,20,False,76.5,1.82,8655025.0,6934000000.0,4.07,3.7,gross,29.2,28.8,0.4,15.4,6802.0,11.2,1.69,8.06,33.2,53.0,-12.6,70.7,False,False,-1.79,True,86.2,86.7,False,25.96,-12.1,True,False,46,22,1.13,20.17,True
