Ticker,Nombre,Mercado,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Score_Tecnico_Base,Score_Tecnico_Bonus,Vol_Medio_Diario,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Variacion_Margen_pp,EV_EBITDA,Caida_Max_Multianual_%,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Paso_Filtro,hard_rules_applied,Capa1_Status,Base_Classification,Causal_Classification,Causal_Confidence,Problem_Type,Causal_Justification,Recovery_Status,Recovery_Signals,Technical_Status,Final_Classification,Entry_Zone_Min,Entry_Zone_Max,Entry_Zone,Exit_Zone_Min,Exit_Zone_Max,Exit_Zone,Invalidation_Conditions,Estimated_Horizon_Months,Short_Explanation,Summary_Explanation,Estado,Error
KBC.BR,KBC,EUROSTOXX,1.0,script-v2.0,1.0,2026-08-06T10:24:48.483621+02:00,41.1,38.9,73.0,9.0,0.0,1.0,48.0,30.0,18.0,383731.0,,79.6,,,0.6,5.1764,False,93.5,93.3,False,110.93,17.2,True,True,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,dividend_maintained (baja): Dividendo actual 3.92% con caída del 0.6%,razonable,descarte,117.78,118.88,117.78 - 118.88,110.26,111.18,110.26 - 111.18,Pérdida del soporte en 117.78 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"KBC está un 0.6% por debajo de su máximo 52s. Fundamentalmente débil con ROE 13.4%, dividendo 3.9%. Técnicamente 🟢 Cruce alcista MACD, 🟢 base_pattern_detected. Clasificación: descarte.","KBC está un 0.6% por debajo de su máximo 52s. Fundamentalmente débil con ROE 13.4%, dividendo 3.9%. Técnicamente 🟢 Cruce alcista MACD, 🟢 base_pattern_detected. Clasificación: descarte.",OK,
PM,Philip Morris International Inc,SP500,1.0,script-v2.0,1.0,2026-08-06T10:25:52.148864+02:00,41.0,41.7,71.0,16.0,0.0,12.0,39.0,21.0,18.0,5111085.0,2.39,-5.4,-0.0,18.85,9.1,6.6235,False,19.5,25.4,False,170.09,11.1,True,True,True,,pass,pendiente_confirmacion,pendiente,0.0,desconocido,Pendiente de implementar,confirmada,margin_stabilization (media): Margen gross 68.4% vs 68.1% (+0.4 pp) | eps_stabilization (media): EPS 0.23 vs 0.20 (Diluted EPS) | debt_reduction (alta): Deuda 49139.0M vs 51948.0M | dividend_maintained (baja): Dividendo actual 3.11% con caída del 9.1%,incompleto,pendiente_confirmacion,182.93,185.71,182.93 - 185.71,168.16,176.6,168.16 - 176.60,Pérdida del soporte en 185.71 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"Philip Morris International Inc está un 9.1% por debajo de su máximo 52s. Fundamentalmente aceptable con deuda neta/EBITDA 2.4x, dividendo 3.1%. Técnicamente 🟢 Cerca de soporte, 🟢 base_pattern_detected. Clasificación: pendiente_confirmacion.","Philip Morris International Inc está un 9.1% por debajo de su máximo 52s. Fundamentalmente aceptable con deuda neta/EBITDA 2.4x, dividendo 3.1%. Técnicamente 🟢 Cerca de soporte, 🟢 base_pattern_detected. Clasificación: pendiente_confirmacion.",OK,
BHP.AX,BHP GROUP FPO [BHP],ASX,1.0,script-v2.0,1.0,2026-08-06T10:26:04.718810+02:00,40.9,46.2,99.0,0.0,0.0,4.0,25.0,19.0,6.0,8742433.0,0.6,19.2,,12.87,4.8,2.9941,False,90.8,91.8,False,52.55,19.5,False,True,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 1.77 vs 1.55 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.12% con caída del 4.8%,incompleto,descarte,56.75,60.54,56.75 - 60.54,52.13,56.08,52.13 - 56.08,Pérdida del soporte en 56.75 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"BHP GROUP FPO [BHP] está un 4.8% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 24.7%, deuda neta/EBITDA 0.6x. Técnicamente 🟡 trendline_break. Clasificación: descarte.","BHP GROUP FPO [BHP] está un 4.8% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 24.7%, deuda neta/EBITDA 0.6x. Técnicamente 🟡 trendline_break. Clasificación: descarte.",OK,
BARC.L,BARCLAYS PLC ORD 25P,EUROSTOXX,1.0,script-v2.0,1.0,2026-08-06T10:25:01.140666+02:00,40.8,45.4,63.0,30.0,0.0,4.0,27.0,21.0,6.0,45857901.0,,471.7,,,1.8,26.2942,False,81.9,76.9,False,456.38,15.9,False,True,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 0.17 vs 0.14 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 0.02% con caída del 1.8%,incompleto,descarte,498.66,501.22,498.66 - 501.22,453.74,457.55,453.74 - 457.55,Pérdida del soporte en 498.66 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"BARCLAYS PLC ORD 25P está un 1.8% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 10.1%, dividendo 0.0%. Técnicamente 🟡 MACD convergiendo, 🟡 trendline_break. Clasificación: descarte.","BARCLAYS PLC ORD 25P está un 1.8% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 10.1%, dividendo 0.0%. Técnicamente 🟡 MACD convergiendo, 🟡 trendline_break. Clasificación: descarte.",OK,
BAS.DE,BASF SE                       N,EUROSTOXX,1.0,script-v2.0,1.0,2026-08-06T10:24:05.430160+02:00,40.8,43.3,70.0,20.0,0.0,4.0,33.0,33.0,0.0,2368820.0,2.86,12.7,-1.0,9.77,5.9,0.9318,False,84.7,80.9,False,47.03,8.7,False,False,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 4.78 vs 1.06 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 4.40% con caída del 7.2%,incompleto,descarte,49.01,50.44,49.01 - 50.44,46.64,46.79,46.64 - 46.79,Pérdida del soporte en 50.44 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"BASF SE                       N está un 7.2% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 6.1%, deuda neta/EBITDA 2.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: descarte.","BASF SE                       N está un 7.2% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 6.1%, deuda neta/EBITDA 2.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: descarte.",OK,
UCG.MI,UNICREDIT,EUROSTOXX,1.0,script-v2.0,1.0,2026-08-06T10:24:43.310836+02:00,40.6,42.1,80.0,9.0,0.0,1.0,36.0,30.0,6.0,5312611.0,,,,,0.3,4.7086,False,96.5,93.2,False,70.04,22.1,False,True,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,dividend_maintained (baja): Dividendo actual 3.68% con caída del 0.3%,incompleto,descarte,78.89,79.25,78.89 - 79.25,69.6,72.9,69.60 - 72.90,Pérdida del soporte en 79.25 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"UNICREDIT está un 0.3% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 15.8%, dividendo 3.7%. Técnicamente 🟢 Cruce alcista MACD, 🟡 trendline_break. Clasificación: descarte.","UNICREDIT está un 0.3% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 15.8%, dividendo 3.7%. Técnicamente 🟢 Cruce alcista MACD, 🟡 trendline_break. Clasificación: descarte.",OK,
AFL,AFLAC Incorporated,SP500,1.0,script-v2.0,1.0,2026-08-06T10:25:23.838887+02:00,40.5,47.9,89.0,12.0,0.0,1.0,18.0,12.0,6.0,2392829.0,1.05,72.0,-1.9,11.92,3.6,4.1411,False,40.2,49.6,False,113.58,10.5,False,True,False,Sin señales de recuperación | Sin suelo técnico identificado,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,dividend_maintained (baja): Dividendo actual 1.94% con caída del 3.6%,sin_suelo,descarte,112.74,120.13,112.74 - 120.13,110.69,112.85,110.69 - 112.85,Pérdida del soporte en 112.74 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"AFLAC Incorporated está un 3.6% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 16.5%, deuda neta/EBITDA 1.1x. Técnicamente 🟡 trendline_break. Clasificación: descarte.","AFLAC Incorporated está un 3.6% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 16.5%, deuda neta/EBITDA 1.1x. Técnicamente 🟡 trendline_break. Clasificación: descarte.",OK,
AI.PA,AIR LIQUIDE,EUROSTOXX,1.0,script-v2.0,1.0,2026-08-06T10:24:17.332503+02:00,40.3,43.4,93.0,0.0,0.0,4.0,31.0,25.0,6.0,947476.0,1.98,36.4,,16.51,4.4,5.7381,False,56.1,45.6,False,157.03,10.9,False,True,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 6.08 vs 5.20 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 1.93% con caída del 4.4%,incompleto,descarte,163.45,171.35,163.45 - 171.35,154.92,156.4,154.92 - 156.40,Pérdida del soporte en 163.45 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"AIR LIQUIDE está un 4.4% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 14.0%, deuda neta/EBITDA 2.0x. Técnicamente 🟡 MACD convergiendo, 🟡 trendline_break. Clasificación: descarte.","AIR LIQUIDE está un 4.4% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 14.0%, deuda neta/EBITDA 2.0x. Técnicamente 🟡 MACD convergiendo, 🟡 trendline_break. Clasificación: descarte.",OK,
WES.AX,WESFARMER FPO [WES],ASX,1.0,script-v2.0,1.0,2026-08-06T10:26:09.149490+02:00,40.2,40.6,87.0,0.0,0.0,4.0,39.0,21.0,18.0,1775901.0,2.57,,,24.79,2.7,3.0988,False,68.9,70.2,False,80.68,12.8,True,True,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 2.58 vs 2.26 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 2.34% con caída del 4.4%,incompleto,descarte,86.35,87.42,86.35 - 87.42,80.89,81.04,80.89 - 81.04,Pérdida del soporte en 86.35 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"WESFARMER FPO [WES] está un 4.4% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 36.4%, deuda neta/EBITDA 2.6x. Técnicamente 🟡 MACD convergiendo, 🟢 base_pattern_detected. Clasificación: descarte.","WESFARMER FPO [WES] está un 4.4% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 36.4%, deuda neta/EBITDA 2.6x. Técnicamente 🟡 MACD convergiendo, 🟢 base_pattern_detected. Clasificación: descarte.",OK,
ENEL.MI,ENEL,EUROSTOXX,1.0,script-v2.0,1.0,2026-08-06T10:24:40.417869+02:00,39.9,44.2,81.0,12.0,0.0,4.0,27.0,21.0,6.0,19380614.0,3.27,6.8,-8.7,8.94,1.1,0.2923,False,68.5,70.2,False,9.2,8.6,False,True,False,Sin señales de recuperación,pass,descarte,pendiente,0.0,desconocido,Pendiente de implementar,ausente,margin_stabilization (media): Margen gross 55.8% vs 34.2% (+21.7 pp) | dividend_maintained (baja): Dividendo actual 5.20% con caída del 3.1%,incompleto,descarte,9.31,9.72,9.31 - 9.72,8.76,9.15,8.76 - 9.15,Pérdida del soporte en 9.31 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"ENEL está un 3.1% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 12.3%, deuda neta/EBITDA 3.3x. Técnicamente 🟡 MACD convergiendo, 🟡 trendline_break. Clasificación: descarte.","ENEL está un 3.1% por debajo de su máximo 52s. Fundamentalmente aceptable con ROE 12.3%, deuda neta/EBITDA 3.3x. Técnicamente 🟡 MACD convergiendo, 🟡 trendline_break. Clasificación: descarte.",OK,
