Ticker,Alert_Type,Severity,Title,Message,Triggered_At,Is_Read
BMW.DE,new_opportunity,media,Nueva oportunidad detectada en BMW.DE,BMW.DE aparece por primera vez con score 77.2 y clasificación seguimiento.,2026-09-26T12:38:36.538389+02:00,False
DTE.DE,new_opportunity,media,Nueva oportunidad detectada en DTE.DE,DTE.DE aparece por primera vez con score 69.3 y clasificación seguimiento.,2026-09-26T12:38:38.931125+02:00,False
EOAN.DE,new_opportunity,media,Nueva oportunidad detectada en EOAN.DE,EOAN.DE aparece por primera vez con score 68.3 y clasificación seguimiento.,2026-09-26T12:38:39.039282+02:00,False
VOW3.DE,new_opportunity,media,Nueva oportunidad detectada en VOW3.DE,VOW3.DE aparece por primera vez con score 64.9 y clasificación seguimiento.,2026-09-26T12:38:41.498842+02:00,False
ADS.DE,new_opportunity,media,Nueva oportunidad detectada en ADS.DE,ADS.DE aparece por primera vez con score 68.4 y clasificación seguimiento.,2026-09-26T12:38:43.732629+02:00,False
HEI.DE,new_opportunity,media,Nueva oportunidad detectada en HEI.DE,HEI.DE aparece por primera vez con score 82.3 y clasificación seguimiento.,2026-09-26T12:38:45.918827+02:00,False
BEI.DE,new_opportunity,media,Nueva oportunidad detectada en BEI.DE,BEI.DE aparece por primera vez con score 68.3 y clasificación seguimiento.,2026-09-26T12:38:46.148213+02:00,False
BN.PA,new_opportunity,media,Nueva oportunidad detectada en BN.PA,BN.PA aparece por primera vez con score 65.5 y clasificación seguimiento.,2026-09-26T12:38:48.444769+02:00,False
CAP.PA,new_opportunity,media,Nueva oportunidad detectada en CAP.PA,CAP.PA aparece por primera vez con score 73.7 y clasificación seguimiento.,2026-09-26T12:38:49.963498+02:00,False
DG.PA,new_opportunity,media,Nueva oportunidad detectada en DG.PA,DG.PA aparece por primera vez con score 76.8 y clasificación seguimiento.,2026-09-26T12:38:50.977725+02:00,False
EL.PA,new_opportunity,media,Nueva oportunidad detectada en EL.PA,EL.PA aparece por primera vez con score 81.0 y clasificación seguimiento.,2026-09-26T12:38:52.235153+02:00,False
EN.PA,new_opportunity,media,Nueva oportunidad detectada en EN.PA,EN.PA aparece por primera vez con score 68.0 y clasificación entrada_escalada.,2026-09-26T12:38:52.365552+02:00,False
LR.PA,new_opportunity,media,Nueva oportunidad detectada en LR.PA,LR.PA aparece por primera vez con score 61.0 y clasificación descarte.,2026-09-26T12:38:54.194801+02:00,False
MC.PA,new_opportunity,media,Nueva oportunidad detectada en MC.PA,MC.PA aparece por primera vez con score 81.8 y clasificación seguimiento.,2026-09-26T12:38:54.640663+02:00,False
ORA.PA,new_opportunity,media,Nueva oportunidad detectada en ORA.PA,ORA.PA aparece por primera vez con score 78.7 y clasificación seguimiento.,2026-09-26T12:38:56.616943+02:00,False
RI.PA,new_opportunity,media,Nueva oportunidad detectada en RI.PA,RI.PA aparece por primera vez con score 82.5 y clasificación entrada_directa.,2026-09-26T12:38:57.030083+02:00,False
SGO.PA,new_opportunity,media,Nueva oportunidad detectada en SGO.PA,SGO.PA aparece por primera vez con score 78.5 y clasificación entrada_escalada.,2026-09-26T12:38:57.361555+02:00,False
SAN.PA,new_opportunity,media,Nueva oportunidad detectada en SAN.PA,SAN.PA aparece por primera vez con score 68.2 y clasificación seguimiento.,2026-09-26T12:38:57.722002+02:00,False
RNO.PA,new_opportunity,media,Nueva oportunidad detectada en RNO.PA,RNO.PA aparece por primera vez con score 66.5 y clasificación seguimiento.,2026-09-26T12:39:02.657447+02:00,False
HEIA.AS,new_opportunity,media,Nueva oportunidad detectada en HEIA.AS,HEIA.AS aparece por primera vez con score 69.8 y clasificación seguimiento.,2026-09-26T12:39:04.174134+02:00,False
PHIA.AS,new_opportunity,media,Nueva oportunidad detectada en PHIA.AS,PHIA.AS aparece por primera vez con score 67.2 y clasificación entrada_escalada.,2026-09-26T12:39:05.791965+02:00,False
WKL.AS,new_opportunity,media,Nueva oportunidad detectada en WKL.AS,WKL.AS aparece por primera vez con score 65.5 y clasificación seguimiento.,2026-09-26T12:39:07.401874+02:00,False
AD.AS,new_opportunity,media,Nueva oportunidad detectada en AD.AS,AD.AS aparece por primera vez con score 74.5 y clasificación seguimiento.,2026-09-26T12:39:07.927930+02:00,False
UCB.BR,new_opportunity,media,Nueva oportunidad detectada en UCB.BR,UCB.BR aparece por primera vez con score 68.5 y clasificación seguimiento.,2026-09-26T12:39:15.034562+02:00,False
SHEL.L,new_opportunity,media,Nueva oportunidad detectada en SHEL.L,SHEL.L aparece por primera vez con score 61.9 y clasificación entrada_escalada.,2026-09-26T12:39:23.592203+02:00,False
GSK.L,new_opportunity,media,Nueva oportunidad detectada en GSK.L,GSK.L aparece por primera vez con score 67.8 y clasificación seguimiento.,2026-09-26T12:39:24.804872+02:00,False
AZN.L,new_opportunity,media,Nueva oportunidad detectada en AZN.L,AZN.L aparece por primera vez con score 67.7 y clasificación entrada_directa.,2026-09-26T12:39:25.027030+02:00,False
RIO.L,new_opportunity,media,Nueva oportunidad detectada en RIO.L,RIO.L aparece por primera vez con score 76.5 y clasificación seguimiento.,2026-09-26T12:39:28.115525+02:00,False
NG.L,new_opportunity,media,Nueva oportunidad detectada en NG.L,NG.L aparece por primera vez con score 63.2 y clasificación seguimiento.,2026-09-26T12:39:30.013254+02:00,False
BA.L,new_opportunity,media,Nueva oportunidad detectada en BA.L,BA.L aparece por primera vez con score 61.0 y clasificación seguimiento.,2026-09-26T12:39:30.519096+02:00,False
BATS.L,new_opportunity,media,Nueva oportunidad detectada en BATS.L,BATS.L aparece por primera vez con score 71.5 y clasificación entrada_escalada.,2026-09-26T12:39:32.168018+02:00,False
