Rank,Ticker,Nombre,Mercado,Sector,Industria,País,Moneda,Precio,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score_Total,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Clasificacion,Clasificacion_Base,hard_rules_applied,Capa1_Pasa,Capa1_Status,Capa2_Causal_Classification,Capa2_Causal_Confidence,Capa2_Problem_Type,Capa2_Justification,Capa3_Recovery_Status,Capa3_Recovery_Signals,Capa4_Status,Capa5_Final_Classification,Capa5_Entry_Zone_Min,Capa5_Entry_Zone_Max,Capa5_Entry_Zone,Capa5_Exit_Zone_Min,Capa5_Exit_Zone_Max,Capa5_Exit_Zone,Capa5_Invalidation_Conditions,Capa5_Estimated_Horizon_Months,Capa5_Short_Explanation,Capa5_Summary_Explanation,Señales,Div_Yield_Actual_%,Historial_Div_Años_10,Consec_Antes_Corte,Recorte_Reciente,Payout_%,D/E,Vol_Medio_Diario,Net_Debt,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Tipo_Margen,Margen_Actual_%,Margen_Medio_4T_%,Variacion_Margen_pp,ROE_%,Cap_Millones,PER,P/B,EV_EBITDA,Caida_52s_%,Caida_Max_Multianual_%,Dist_SMA200_%,RSI_14,MACD_Cruce,MACD_Convergiendo,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Technical_Base_Score,Technical_Bonus_Points,Vol_Ratio,Soporte,SMA50_Girando
1,035420.KS,NAVER,ASIA,Communication Services,Internet Content & Information,South Korea,KRW,207500.0,1.0,script-v2.0,1.0,2026-07-25T10:00:07.756704+02:00,80.9,80.9,75,86,0,7,81,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"margin_stabilization (media): Margen gross 100.0% vs 100.0% (+0.0 pp) | dividend_maintained (baja): Dividendo actual 1.27% con caída del 31.7% | analyst_upgrade (media): Target 301962.97 vs precio 207500.00 (+46%), recMean 1.67, recKey buy",fuerte,seguimiento,193928.57,207500.0,193928.57 - 207500.00,232685.11,258400.0,232685.11 - 258400.00,Pérdida del soporte en 193928.57 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"NAVER está un 31.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 5.7%, deuda neta/EBITDA -1.2x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","NAVER está un 31.7% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 5.7%, deuda neta/EBITDA -1.2x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,1.27,10,2,False,21.9,0.17,1951891.0,-3653219385344.0,-1.21,27.2,gross,100.0,100.0,0.0,5.7,31037803.0,13.9,,9.69,31.7,31.7,-10.8,52.5,True,False,-8296.567,True,67.9,76.3,False,230857.9,-10.1,True,False,59,22,1.29,193928.57,False
2,TWE.AX,TREA WINE FPO [TWE],ASX,Consumer Defensive,Beverages - Wineries & Distilleries,Australia,AUD,4.73,1.0,script-v2.0,1.0,2026-07-25T09:59:41.527941+02:00,80.2,82.7,72,92,0,4,73,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 0.54 vs 0.13 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 8.46% con caída del 42.4%,fuerte,seguimiento,4.5,4.58,4.50 - 4.58,4.91,6.98,4.91 - 6.98,Pérdida del soporte en 4.50 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"TREA WINE FPO [TWE] está un 42.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Cerca de soporte. Clasificación: seguimiento.","TREA WINE FPO [TWE] está un 42.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected | 🟡 trendline_break,8.46,10,0,False,72.4,0.54,3712292.0,1862100064.0,1.81,,,46.1,,,-9.9,3819.0,14.0,0.99,-21.56,42.4,59.9,-3.6,55.1,True,False,-0.1479,False,68.7,54.9,False,4.85,-2.5,True,True,50,23,0.94,4.5,True
3,0700.HK,TENCENT,ASIA,Communication Services,Internet Content & Information,China,HKD,434.6,1.0,script-v2.0,1.0,2026-07-25T10:00:03.919318+02:00,79.5,84.6,99,72,0,7,64,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.30 vs 6.28 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 1.22% con caída del 36.4% | analyst_upgrade (media): Target 690.39 vs precio 434.60 (+59%), recMean 1.33, recKey strong_buy",razonable,seguimiento,418.93,434.6,418.93 - 434.60,539.85,580.55,539.85 - 580.55,Pérdida del soporte en 418.93 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"TENCENT está un 36.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 20.5%, deuda neta/EBITDA -0.2x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","TENCENT está un 36.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 20.5%, deuda neta/EBITDA -0.2x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cerca de soporte | 🟢 base_pattern_detected,1.22,11,19,False,17.1,0.33,34274654.0,-54203973632.0,-0.19,,gross,56.4,56.9,-0.5,20.5,3912108.0,15.6,3.01,14.01,36.4,35.6,-19.5,43.5,False,False,-27.5703,False,4.1,18.2,False,526.87,-17.5,True,False,52,12,1.02,418.93,False
4,CSL.AX,CSL FPO [CSL],ASX,Healthcare,Biotechnology,Australia,AUD,114.22,1.0,script-v2.0,1.0,2026-07-25T09:59:27.620350+02:00,78.3,86.1,84,88,0,7,55,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.17 vs 5.45 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.73% con caída del 58.6% | analyst_upgrade (media): Target 138.88 vs precio 114.22 (+22%), recMean 2.25, recKey buy",razonable,seguimiento,109.88,112.4,109.88 - 112.40,149.01,234.42,149.01 - 234.42,Pérdida del soporte en 112.40 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"CSL FPO [CSL] está un 58.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 6.7%, deuda neta/EBITDA 2.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","CSL FPO [CSL] está un 58.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 6.7%, deuda neta/EBITDA 2.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Bajo SMA200 con SMA50 girando | 🟢 Cerca de soporte,3.73,11,20,False,45.5,0.54,1878913.0,9992999936.0,2.06,,gross,51.9,52.1,-0.2,6.7,54701.0,12.9,2.06,13.81,58.6,62.1,-23.3,42.5,False,False,-13.0517,False,3.6,5.7,False,146.82,-22.2,False,False,55,0,0.96,112.4,True
5,9022.T,CENTRAL JAPAN RAILWAY CO,ASIA,Industrials,Railroads,Japan,JPY,3892.0,1.0,script-v2.0,1.0,2026-07-25T09:59:55.229592+02:00,76.4,85.2,90,81,0,9,50,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,eps_stabilization (media): EPS 570.84 vs 465.88 (annual_eps_fallback) | debt_reduction (alta): Deuda 4308083.9M vs 4308098.0M | dividend_maintained (baja): Dividendo actual 0.82% con caída del 19.4%,razonable,seguimiento,3511.18,3563.0,3511.18 - 3563.00,4061.71,4105.5,4061.71 - 4105.50,Pérdida del soporte en 3563.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"CENTRAL JAPAN RAILWAY CO está un 19.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 3.8x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 MACD semanal girando al alza. Clasificación: seguimiento.","CENTRAL JAPAN RAILWAY CO está un 19.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 3.8x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 MACD semanal girando al alza. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal,0.82,11,20,False,5.6,0.84,3301521.0,3939490922496.0,3.8,-0.0,,52.2,,,11.5,3701558.0,6.8,0.73,7.46,19.4,19.1,-4.2,70.6,False,False,-131.0381,True,96.9,88.7,False,4036.68,-3.6,False,False,35,15,0.88,3563.0,True
6,6758.T,SONY GROUP CORPORATION,ASIA,Technology,Consumer Electronics,Japan,JPY,3409.0,1.0,script-v2.0,1.0,2026-07-25T09:59:50.210421+02:00,74.8,75.3,94,59,0,10,73,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"margin_stabilization (media): Margen gross 30.8% vs 28.4% (+2.3 pp) | eps_stabilization (media): EPS 13.89 vs -169.03 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 1.03% con caída del 28.6% | analyst_upgrade (media): Target 4686.82 vs precio 3409.00 (+37%), recMean 1.39, recKey strong_buy",fuerte,seguimiento,3223.3,3409.0,3223.30 - 3409.00,3709.08,4059.6,3709.08 - 4059.60,Pérdida del soporte en 3223.30 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"SONY GROUP CORPORATION está un 28.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 12.3%, deuda neta/EBITDA -0.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","SONY GROUP CORPORATION está un 28.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 12.3%, deuda neta/EBITDA -0.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Bajo SMA200 con SMA50 girando | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,1.03,11,20,False,14.6,0.2,22084468.0,-539210022912.0,-0.27,0.8,gross,31.2,31.0,0.3,12.3,20019222.0,19.9,2.48,10.17,28.6,28.3,-8.1,51.9,False,False,-80.046,True,42.4,52.7,False,3651.7,-6.6,True,False,46,27,0.71,3223.3,True
7,4503.T,ASTELLAS PHARMA,ASIA,Healthcare,Drug Manufacturers - General,Japan,JPY,2166.5,1.0,script-v2.0,1.0,2026-07-25T09:59:47.981981+02:00,74.5,79.7,100,62,0,9,59,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,eps_stabilization (media): EPS 162.22 vs 28.24 (annual_eps_fallback) | debt_reduction (alta): Deuda 672353.0M vs 831426.0M | dividend_maintained (baja): Dividendo actual 3.69% con caída del 20.3%,razonable,seguimiento,2107.65,2166.5,2107.65 - 2166.50,2147.95,2309.45,2147.95 - 2309.45,Pérdida del soporte en 2107.65 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"ASTELLAS PHARMA está un 20.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 17.4%, deuda neta/EBITDA 0.6x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","ASTELLAS PHARMA está un 20.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 17.4%, deuda neta/EBITDA 0.6x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,3.69,11,20,False,48.1,0.37,6877801.0,390748012544.0,0.62,-19.1,,80.9,,,17.4,3881268.0,13.4,2.12,6.74,20.3,20.3,0.9,50.2,False,False,-2.3399,False,52.8,54.3,False,2197.34,-1.4,True,False,42,17,0.87,2107.65,False
8,9021.T,WEST JAPAN RAILWAY CO,ASIA,Industrials,Railroads,Japan,JPY,2975.0,1.0,script-v2.0,1.0,2026-07-25T09:59:55.112655+02:00,74.2,79.3,83,76,0,4,59,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 277.73 vs 240.08 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.28% con caída del 16.8%,razonable,seguimiento,2717.42,2893.0,2717.42 - 2893.00,3007.17,3040.45,3007.17 - 3040.45,Pérdida del soporte en 2893.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"WEST JAPAN RAILWAY CO está un 16.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","WEST JAPAN RAILWAY CO está un 16.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal,3.28,11,20,False,35.1,1.15,3190611.0,1306392002560.0,3.48,5.3,,25.0,,,10.2,1353874.0,10.7,1.12,7.42,16.8,14.3,-1.1,64.4,False,False,-65.0962,True,70.7,65.0,False,3001.48,-0.9,False,False,44,15,0.71,2893.0,True
9,MGR.AX,MIRVAC GRP STAPLED [MGR],ASX,Real Estate,REIT - Diversified,Australia,AUD,1.695,1.0,script-v2.0,1.0,2026-07-25T09:59:40.716568+02:00,73.1,69.1,67,71,0,7,85,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 0.02 vs -0.20 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 5.90% con caída del 31.1% | analyst_upgrade (media): Target 2.05 vs precio 1.70 (+21%), recMean 2.00, recKey buy",fuerte,seguimiento,1.65,1.68,1.65 - 1.68,1.87,2.09,1.87 - 2.09,Pérdida del soporte en 1.65 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"MIRVAC GRP STAPLED [MGR] está un 31.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 4.2%, deuda neta/EBITDA 5.2x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","MIRVAC GRP STAPLED [MGR] está un 31.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 4.2%, deuda neta/EBITDA 5.2x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Cruce alcista MACD | 🟢 Bajo SMA200 con SMA50 girando | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected | 🟡 trendline_break,5.9,11,20,False,94.2,0.44,12398842.0,3926999936.0,5.24,,,34.3,,,4.2,6688.0,16.9,0.73,14.17,31.1,27.5,-9.5,47.8,True,False,-0.0537,False,40.0,51.2,False,1.85,-8.5,True,True,62,23,0.68,1.65,True
10,4568.T,DAIICHI SANKYO COMPANY LIMITED,ASIA,Healthcare,Drug Manufacturers - General,Japan,JPY,2799.5,1.0,script-v2.0,1.0,2026-07-25T09:59:48.579253+02:00,72.6,70.8,98,47,0,4,78,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.57% con caída del 33.0% | analyst_upgrade (media): Target 4205.29 vs precio 2799.50 (+50%), recMean 1.41, recKey strong_buy",fuerte,seguimiento,2628.59,2740.97,2628.59 - 2740.97,3058.54,3551.3,3058.54 - 3551.30,Pérdida del soporte en 2740.97 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"DAIICHI SANKYO COMPANY LIMITED está un 33.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.8%, deuda neta/EBITDA -0.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","DAIICHI SANKYO COMPANY LIMITED está un 33.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.8%, deuda neta/EBITDA -0.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Bajo SMA200 con SMA50 girando | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,3.57,11,20,False,55.6,0.21,7925671.0,-99755982848.0,-0.34,74.0,,68.5,,,15.8,5094119.0,20.0,3.06,16.92,33.0,53.5,-8.5,61.2,False,False,-107.3941,True,68.6,60.2,False,2984.62,-6.2,True,False,51,27,0.75,2740.97,True
