Ticker,Alert_Type,Severity,Title,Message,Triggered_At,Is_Read
CON.DE,new_opportunity,media,Nueva oportunidad detectada en CON.DE,CON.DE aparece por primera vez con score 67.5 y clasificación seguimiento.,2026-04-29T10:07:28.241311+02:00,False
DTE.DE,new_opportunity,media,Nueva oportunidad detectada en DTE.DE,DTE.DE aparece por primera vez con score 73.4 y clasificación seguimiento.,2026-04-29T10:07:28.418906+02:00,False
FRE.DE,new_opportunity,media,Nueva oportunidad detectada en FRE.DE,FRE.DE aparece por primera vez con score 78.9 y clasificación entrada_directa.,2026-04-29T10:07:28.670932+02:00,False
HEN3.DE,new_opportunity,media,Nueva oportunidad detectada en HEN3.DE,HEN3.DE aparece por primera vez con score 82.2 y clasificación entrada_escalada.,2026-04-29T10:07:31.489532+02:00,False
VOW3.DE,new_opportunity,media,Nueva oportunidad detectada en VOW3.DE,VOW3.DE aparece por primera vez con score 60.3 y clasificación descarte.,2026-04-29T10:07:31.729240+02:00,False
SAP.DE,new_opportunity,media,Nueva oportunidad detectada en SAP.DE,SAP.DE aparece por primera vez con score 71.7 y clasificación seguimiento.,2026-04-29T10:07:34.491048+02:00,False
ADS.DE,new_opportunity,media,Nueva oportunidad detectada en ADS.DE,ADS.DE aparece por primera vez con score 74.8 y clasificación seguimiento.,2026-04-29T10:07:34.637182+02:00,False
DBK.DE,new_opportunity,media,Nueva oportunidad detectada en DBK.DE,DBK.DE aparece por primera vez con score 72.0 y clasificación seguimiento.,2026-04-29T10:07:34.839963+02:00,False
HEI.DE,new_opportunity,media,Nueva oportunidad detectada en HEI.DE,HEI.DE aparece por primera vez con score 65.0 y clasificación seguimiento.,2026-04-29T10:07:37.709641+02:00,False
BEI.DE,new_opportunity,media,Nueva oportunidad detectada en BEI.DE,BEI.DE aparece por primera vez con score 78.2 y clasificación seguimiento.,2026-04-29T10:07:37.827141+02:00,False
AIR.PA,new_opportunity,media,Nueva oportunidad detectada en AIR.PA,AIR.PA aparece por primera vez con score 64.6 y clasificación seguimiento.,2026-04-29T10:07:40.352425+02:00,False
BN.PA,new_opportunity,media,Nueva oportunidad detectada en BN.PA,BN.PA aparece por primera vez con score 71.3 y clasificación seguimiento.,2026-04-29T10:07:40.632323+02:00,False
CAP.PA,new_opportunity,media,Nueva oportunidad detectada en CAP.PA,CAP.PA aparece por primera vez con score 83.8 y clasificación seguimiento.,2026-04-29T10:07:43.231344+02:00,False
EL.PA,new_opportunity,media,Nueva oportunidad detectada en EL.PA,EL.PA aparece por primera vez con score 68.5 y clasificación seguimiento.,2026-04-29T10:07:45.995345+02:00,False
MC.PA,new_opportunity,media,Nueva oportunidad detectada en MC.PA,MC.PA aparece por primera vez con score 68.0 y clasificación seguimiento.,2026-04-29T10:07:49.338899+02:00,False
OR.PA,new_opportunity,media,Nueva oportunidad detectada en OR.PA,OR.PA aparece por primera vez con score 65.0 y clasificación descarte.,2026-04-29T10:07:50.496777+02:00,False
RI.PA,new_opportunity,media,Nueva oportunidad detectada en RI.PA,RI.PA aparece por primera vez con score 85.8 y clasificación seguimiento.,2026-04-29T10:07:52.295932+02:00,False
SGO.PA,new_opportunity,media,Nueva oportunidad detectada en SGO.PA,SGO.PA aparece por primera vez con score 72.7 y clasificación entrada_escalada.,2026-04-29T10:07:53.589269+02:00,False
SAN.PA,new_opportunity,media,Nueva oportunidad detectada en SAN.PA,SAN.PA aparece por primera vez con score 65.5 y clasificación entrada_escalada.,2026-04-29T10:07:53.608939+02:00,False
